"Package","Version","LibPath","Built"
"abind","1.4-8","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.1"
"ade4","1.7-23","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.1"
"ape","5.8-1","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.1"
"aplot","0.2.5","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.1"
"AsioHeaders","1.22.1-2","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.0"
"askpass","1.2.1","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.1"
"assertthat","0.2.1","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.0"
"backports","1.5.0","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.0"
"base","4.4.2","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.2"
"base64enc","0.1-3","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.0"
"bayesm","3.1-6","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.0"
"bbotk","1.5.0","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.1"
"Biobase","2.66.0","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.1"
"BiocGenerics","0.52.0","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.1"
"BiocManager","1.30.25","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.1"
"BiocVersion","3.20.0","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.1"
"biomformat","1.34.0","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.1"
"Biostrings","2.74.1","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.2"
"bit","4.6.0","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.1"
"bit64","4.6.0-1","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.1"
"bitops","1.0-9","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.1"
"blob","1.2.4","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.0"
"boot","1.3-31","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.2"
"Boruta","8.0.0","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.0"
"brew","1.0-10","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.0"
"brio","1.1.5","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.0"
"broom","1.0.7","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.1"
"bslib","0.9.0","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.1"
"cachem","1.1.0","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.0"
"callr","3.7.6","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.0"
"car","3.1-3","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.1"
"carData","3.0-5","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.0"
"cellranger","1.1.0","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.0"
"checkmate","2.3.2","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.0"
"chron","2.3-62","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.1"
"class","7.3-23","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.1"
"cli","3.6.4","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.1"
"clipr","0.8.0","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.0"
"clue","0.3-66","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.1"
"cluster","2.1.8.1","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.1"
"codetools","0.2-20","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.2"
"collections","0.3.7","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.0"
"colorspace","2.1-1","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.0"
"commonmark","1.9.5","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.1"
"compiler","4.4.2","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.2"
"compositions","2.0-8","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.0"
"conflicted","1.2.0","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.0"
"corrplot","0.95","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.1"
"cowplot","1.1.3","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.0"
"cpp11","0.5.2","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.1"
"crayon","1.5.3","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.0"
"credentials","2.0.2","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.1"
"curl","6.2.2","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.1"
"cyclocomp","1.1.1","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.0"
"data.table","1.17.0","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.1"
"DataExplorer","0.8.3","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.0"
"datasets","4.4.2","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.2"
"DBI","1.2.3","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.0"
"dbplyr","2.5.0","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.0"
"DEoptimR","1.1-3-1","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.1"
"Deriv","4.1.6","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.1"
"desc","1.4.3","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.0"
"devtools","2.4.5","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.0"
"diffobj","0.3.5","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.0"
"digest","0.6.37","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.1"
"diptest","0.77-1","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.0"
"doBy","4.6.25","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.1"
"downlit","0.4.4","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.0"
"dplyr","1.1.4","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.0"
"dtplyr","1.3.1","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.0"
"e1071","1.7-16","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.1"
"ellipsis","0.3.2","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.0"
"evaluate","1.0.3","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.1"
"exactRankTests","0.8-35","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.0"
"fansi","1.0.6","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.0"
"farver","2.1.2","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.0"
"fastmap","1.2.0","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.0"
"fastVoteR","0.0.1","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.1"
"flexmix","2.3-20","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.1"
"fontawesome","0.5.3","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.1"
"forcats","1.0.0","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.0"
"foreach","1.5.2","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.0"
"foreign","0.8-89","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.1"
"Formula","1.2-5","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.0"
"fpc","2.2-13","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.1"
"fs","1.6.5","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.1"
"future","1.34.0","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.0"
"future.apply","1.11.3","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.1"
"generics","0.1.3","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.0"
"GenomeInfoDb","1.42.3","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.2"
"GenomeInfoDbData","1.2.13","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.2"
"gert","2.1.5","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.1"
"getopt","1.20.4","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.0"
"ggfittext","0.10.2","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.0"
"ggfun","0.1.8","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.1"
"gggenes","0.5.1","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.0"
"ggnewscale","0.5.1","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.1"
"ggplot2","3.5.1","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.0"
"ggplotify","0.1.2","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.0"
"ggpubr","0.6.0","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.0"
"ggrepel","0.9.6","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.1"
"ggsci","3.2.0","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.0"
"ggsignif","0.6.4","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.0"
"ggtext","0.1.2","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.0"
"gh","1.4.1","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.0"
"gitcreds","0.1.2","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.1"
"glmnet","4.1-8","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.0"
"GlobalOptions","0.1.2","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.0"
"globals","0.16.3","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.0"
"glue","1.8.0","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.1"
"googledrive","2.1.1","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.0"
"googlesheets4","1.1.1","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.0"
"GPArotation","2024.3-1","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.0"
"gplots","3.2.0","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.1"
"graphics","4.4.2","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.2"
"grDevices","4.4.2","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.2"
"grid","4.4.2","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.2"
"gridExtra","2.3","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.0"
"gridGraphics","0.5-1","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.0"
"gridSVG","1.7-5","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.0"
"gridtext","0.1.5","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.0"
"gsubfn","0.7","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.0"
"gtable","0.3.6","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.1"
"gtools","3.9.5","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.0"
"haven","2.5.4","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.0"
"highr","0.11","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.0"
"Hmisc","5.2-3","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.1"
"hms","1.1.3","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.0"
"htmlTable","2.4.3","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.0"
"htmltools","0.5.8.1","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.0"
"htmlwidgets","1.6.4","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.0"
"httpgd","2.0.4","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.1"
"httpuv","1.6.15","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.0"
"httr","1.4.7","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.0"
"httr2","1.1.1","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.1"
"ids","1.0.1","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.0"
"igraph","2.1.4","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.1"
"ini","0.3.1","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.0"
"IRanges","2.40.1","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.2"
"isoband","0.2.7","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.0"
"iterators","1.0.14","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.0"
"jpeg","0.1-11","/Library/Frameworks/R.framework/Versions/4.4-x86_64/Resources/library","4.4.1"
