feature_id	raw_id	raw_name	mz	rt	class	sub_class
Metabolite_M466T385_2	M466T385_2	Glycocholic acid	466.3162	385.3	Steroids and steroid derivatives	Bile acids, alcohols and derivatives
Metabolite_M102T56_2	M102T56_2	Pentanamide	102.0913	55.9	Fatty Acyls	Fatty amides
Metabolite_M573T560_2	M573T560_2	20,21-Diprenylterpendole I	573.381	560.2		
Metabolite_M104T53	M104T53	γ-Aminobutyric acid	104.0705	52.7	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
Metabolite_M162T51	M162T51	Carnitine	162.1123	51.3		
Metabolite_M316T387	M316T387	Decanoylcarnitine (C10)	316.2479	387.3	Fatty Acyls	Fatty acid esters
Metabolite_M118T196	M118T196	Indole-3-carboxylic acid	118.065	196	Indoles and derivatives	Indolecarboxylic acids and derivatives
Metabolite_M400T498	M400T498	Palmitoylcarnitine	400.3417	498.5		
Metabolite_M160T193	M160T193	6-hydroxy-N-methylmyosmine	160.0755	192.8		
Metabolite_M119T73	M119T73	2-Hydroxyacetophenone	119.049	72.8	Organooxygen compounds	Carbonyl compounds
Metabolite_M129T52	M129T52	(5R)-Dihydrothymine	129.0657	52		
Metabolite_M107T103	M107T103	benzaldehyde	107.049	102.9		
Metabolite_M153T72	M153T72	Xanthine	153.0405	71.7	Imidazopyrimidines	Purines and purine derivatives
Metabolite_M733T533	M733T533	Plastoquinone 9	732.6213	533	Prenol lipids	Quinone and hydroquinone lipids
Metabolite_M114T73	M114T73	N-Acetyl-L-alanine	114.0548	72.7		
Metabolite_M113T72	M113T72	Uracil	113.0344	71.8	Diazines	Pyrimidines and pyrimidine derivatives
Metabolite_M149T103	M149T103	P-Coumaraldehyde	149.0595	102.8	Cinnamaldehydes	
Metabolite_M169T361	M169T361	2,6-Dihydroxyphenylacetate	169.0493	360.9		
Metabolite_M166T60	M166T60	Methionine sulfoxide	166.053	59.7	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
Metabolite_M170T275	M170T275	8-Amino-7-oxononanoic acid	170.1173	275.4	Fatty Acyls	Fatty acids and conjugates
Metabolite_M148T57	M148T57	dihydro-3-hydroxy-4,4-dimethyl- 2(3H)-Furanone	148.0966	56.6	Lactones	Gamma butyrolactones
Metabolite_M115T86	M115T86	Oxopent-4-enoate	115.0388	86.1		
Metabolite_M149T412	M149T412	bornane-2,6-dione	149.0231	411.7		
Metabolite_M226T445	M226T445	1-Methoxyphenanthrene	226.1223	444.6	Phenanthrenes and derivatives	
Metabolite_M150T71	M150T71	L-Methionine	150.0581	71.4	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
