Features	CFB003	CFB004	CFB005	CFB006	CFB007	CFB008	CFB009	CFB010	CFB011	CFB012	CFB014	CFB015	CFB016	CFB017	CFB018	CFB019	CFB020	CFB021	CFB022	CFB023	CFB024	CFB025	CFB026	CFB027	CFB028	CFB029	CFB030	CFB031	CFB032	CFB033	CFB034	CFB035	CFB036	CFB037	CFB038	CFB039	CFB040	CFB041	CFB042	CFB043	CFB044	CFB045	CFB046	CFB047	CFB048	CFB049	CFB050	CFB051	CFB052	CFB053	CFB054	CFB055	CFB056	CFB057	CFB058	CFB059	CFB060	CFB061	CFB071	CFB072	CFB089	CFB090	CFB092	CFB094	CFB095	CFB097	CFB098	CFB099	CFB100	CFB101	CFB102	CFB107	CFB108	CFB109	CFB110	CFB111	CFB112	CFB113	CFB114	CFB115	CFB117	CFB118	CFB119	CFB120	CFB121	CFB122	CFB123	CFB124	CFB125	CFB126	CFB127	CFB128	CFB129	CFB130	CFB131	CFB132	CFB133	CFB134	CFB135	CFB136	CFB137	CFB141	CFB142	CFB143	CFB144	CFB145	CFB146	CFB147	CFB148	CFB149	CFB150	CFB151	CFB152	CFB153	CFB154	CFB155	CFB156	CFB157	SFB001_1	SFB002_1	SFB003_1	SFB004_1	SFB005_1	SFB006_1	SFB007_1	SFB008_1	SFB009_1	SFB010_1	SFB011_1	SFB012_1	SFB013_1	SFB014_1	SFB015_1	SFB016_1	SFB017_1	SFB018_1	SFB019_1	SFB020_1	SFB021_1	SFB022_1	SFB023_1	SFB024_1	SFB025_1	SFB026_1	SFB027_1	SFB028_1	SFB029_1	SFB030_1	SFB031_1	SFB032_1	SFB033_1	SFB034_1	SFB035_1	SFB036_1	SFB037_1	SFB038_1	SFB039_1	SFB040_1	SFB041_1	SFB044_1	SFB045_1	SFB046_1	SFB047_1	SFB048_1	SFB049_1	SFB050_1	SFB051_1	SFB052_1	SFB053_1	SFB054_1	SFB055_1	SFB056_1	SFB057_1	SFB058_1	SFB059_1	SFB060_1	SFB061_1	SFB062_1	SFB063_1	SFB064_1	SFB065_1	SFB066_1	SFB067_1	SFB068_1	SFB070_1	SFB071_1	SFB072_1	SFB073_1	SFB074_1	SFB075_1	SFB076_1	SFB077_1	SFB078_1	SFB079_1	SFB080_1	SFB081_1	SFB082_1	SFB083_1	SFB084_1	SFB085_1	SFB086_1	SFB087_1	SFB088_1	SFB090_1	SFB091_1	SFB092_1	SFB093_1	SFB094_1	SFB095_1	SFB096_1	SFB097_1	SFB098_1	SFB099_1	SFB100_1	SFB101_1	SFB102_1	SFB103_1	SFB104_1	SFB105_1	SFB106_1	SFB107_1	SFB108_1	SFB109_1	SFB110_1	SFB111_1	SFB112_1	SFB113_1	SFB114_1	SFB115_1	SFB117_1	SFB118_1	SFB119_1	SFB120_1	SFB121_1	SFB122_1	SFB123_1	SFB124_1	SFB125_1	SFB126_1	SFB127_1	SFB128_1	SFB129_1	SFB130_1	SFB131_1	SFB132_1	SFB133_1
Genus_Abiotrophia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5738	0	0	1	0	0	4	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Genus_Absiella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	15	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Genus_Acetanaerobacterium	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Genus_Acidaminococcus	0	0	0	0	0	0	0	16	0	0	0	3	18	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	26	0	0	172	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	46	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	8	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0	0	0	0	28	0	0	0	335	0	0	0	0	0	0	0	0	0	0	5	0	0	0	5	0	0	0	3	0	0	58	0	0	0	0	0	0	0	0	0	32	0	0	0	343	0	0	0	470	0	0	10	0	0	0	0	4	0	0	0	0	0	0	1	2	0	701	0	0	0	0	10	0	45	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	3	0	0	0	0	0	0	0	0	0	0	2	20	0	19	11
Genus_Acinetobacter	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	10	0	0	2	0	0	0	2	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	10	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
Genus_Actinomyces	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Genus_Actinomycetaceae_F0332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Genus_Acutalibacter	6	10	9	1	2	2	27	1	18	1	3	1	20	2	11	3	4	3	8	7	10	48	0	6	8	2	1	18	4	13	5	3	11	8	12	4	154	5	5	12	1	9	3	7	6	12	13	14	3	18	8	12	3	17	0	26	12	4	21	19	8	3	7	4	49	3	0	7	1	7	34	0	11	24	31	6	5	50	14	20	15	40	3	1	6	0	1	11	11	18	6	5	0	0	19	42	15	84	4	0	7	2	5	0	5	1	16	4	15	53	6	18	2	2	5	3	3	7	62	4	31	16	0	18	6	158	8	9	2	14	15	8	6	1	11	0	8	6	5	7	1	11	11	100	11	20	14	48	0	69	2	0	7	50	28	8	21	167	44	24	4	9	30	2	50	9	7	0	55	9	19	0	10	9	2	53	15	13	0	5	1	8	11	20	3	4	22	9	18	13	15	50	4	20	9	5	47	3	2	9	9	25	17	7	7	10	14	6	42	7	15	4	8	64	1	22	3	42	1	60	125	8	15	13	4	20	141	148	0	6	45	0	11	24	4	6	5	10	4	47	13	11	11	92	28	11
Genus_Adlercreutzia	2	0	2	1	1	7	2	2	0	0	0	0	0	0	0	0	0	10	16	0	2	4	2	12	2	0	0	0	0	0	15	0	3	14	0	0	1	0	0	0	0	4	5	11	0	2	5	0	2	0	1	5	0	7	0	7	0	2	0	33	0	3	0	0	0	4	0	0	0	0	6	0	8	3	0	33	0	15	0	0	0	0	0	0	4	0	0	0	2	1	8	0	0	0	2	0	0	0	0	0	2	3	0	5	22	0	3	0	0	2	1	9	9	0	0	0	0	0	0	0	0	0	4	0	0	3	0	0	0	0	2	4	0	0	3	0	14	0	0	14	0	0	6	8	4	0	0	3	0	4	0	0	0	0	3	2	3	2	0	3	0	0	0	0	0	0	6	0	4	8	0	0	0	1	0	7	0	0	0	0	0	0	1	0	4	0	4	7	1	0	13	9	0	0	0	5	0	0	0	0	3	0	18	0	0	7	4	0	0	0	0	2	0	0	0	0	1	2	0	4	0	1	17	4	0	0	22	0	0	0	0	8	2	6	0	0	12	0	0	0	1	1	10	0	0	0
Genus_Aeromonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
