Branch_ID	Branch_Label	Branch_Dir	Model	Parameter	Value
0.1	Con-LAEC 菌群	run_model_0.1_step2	glmnet	alpha	0.668099695583805
0.1	Con-LAEC 菌群	run_model_0.1_step2	glmnet	lambda	0.000337317928545616
0.1	Con-LAEC 菌群	run_model_0.1_step2	glmnet	use_pred_offset	TRUE
0.1	Con-LAEC 菌群	run_model_0.1_step2	glmnet	standardize	FALSE
0.1	Con-LAEC 菌群	run_model_0.1_step2	glmnet	thresh	0.0000288658862433444
0.1	Con-LAEC 菌群	run_model_0.1_step2	glmnet	maxit	3704
0.1	Con-LAEC 菌群	run_model_0.1_step2	xgboost	eta	0.24315709626535
0.1	Con-LAEC 菌群	run_model_0.1_step2	xgboost	max_depth	7
0.1	Con-LAEC 菌群	run_model_0.1_step2	xgboost	nrounds	54
0.1	Con-LAEC 菌群	run_model_0.1_step2	xgboost	nthread	1
0.1	Con-LAEC 菌群	run_model_0.1_step2	xgboost	verbose	0
0.1	Con-LAEC 菌群	run_model_0.1_step2	xgboost	verbosity	0
0.1	Con-LAEC 菌群	run_model_0.1_step2	xgboost	min_child_weight	5.45814330060966
0.1	Con-LAEC 菌群	run_model_0.1_step2	xgboost	subsample	0.945755356689915
0.1	Con-LAEC 菌群	run_model_0.1_step2	xgboost	colsample_bytree	0.553339500795119
0.1	Con-LAEC 菌群	run_model_0.1_step2	rf	importance	impurity
0.1	Con-LAEC 菌群	run_model_0.1_step2	rf	num.threads	1
0.1	Con-LAEC 菌群	run_model_0.1_step2	rf	num.trees	655
0.1	Con-LAEC 菌群	run_model_0.1_step2	rf	mtry	3
0.1	Con-LAEC 菌群	run_model_0.1_step2	rf	max.depth	5
0.1	Con-LAEC 菌群	run_model_0.1_step2	rf	min.node.size	10
0.1	Con-LAEC 菌群	run_model_0.1_step2	svm	cost	0.0467371613376945
0.1	Con-LAEC 菌群	run_model_0.1_step2	svm	kernel	radial
0.1	Con-LAEC 菌群	run_model_0.1_step2	svm	type	C-classification
0.1	Con-LAEC 菌群	run_model_0.1_step2	svm	gamma	0.0000267076444199122
0.1	Con-LAEC 菌群	run_model_0.1_step2	naive_bayes	laplace	2.18621831852943
0.1	Con-LAEC 菌群	run_model_0.1_step2	kknn	k	7
0.1	Con-LAEC 菌群	run_model_0.1_step2	kknn	distance	2.91528831562027
0.1	Con-LAEC 菌群	run_model_0.1_step2	kknn	kernel	triangular
0.1	Con-LAEC 菌群	run_model_0.1_step2	rpart	xval	0
0.1	Con-LAEC 菌群	run_model_0.1_step2	rpart	cp	0.0386624570205633
0.1	Con-LAEC 菌群	run_model_0.1_step2	rpart	maxdepth	13
0.1	Con-LAEC 菌群	run_model_0.1_step2	rpart	minbucket	5
0.1	Con-LAEC 菌群	run_model_0.1_step2	adaboost	I	56
0.1	Con-LAEC 菌群	run_model_0.1_step2	nnet	MaxNWts	5000
0.1	Con-LAEC 菌群	run_model_0.1_step2	nnet	size	16
0.1	Con-LAEC 菌群	run_model_0.1_step2	nnet	decay	0.00479641401447245
0.1	Con-LAEC 菌群	run_model_0.1_step2	nnet	maxit	112
0.2	Con-LAEC 代谢组	run_model_0.2_step2	glmnet	alpha	0.21226983028464
0.2	Con-LAEC 代谢组	run_model_0.2_step2	glmnet	lambda	0.00115482687722683
0.2	Con-LAEC 代谢组	run_model_0.2_step2	glmnet	use_pred_offset	TRUE
0.2	Con-LAEC 代谢组	run_model_0.2_step2	glmnet	standardize	FALSE
