Branch_ID	Branch_Label	SHAP_Status	Model_Count	Status_Rows	SHAP_Excel_Count	Non_Completed	Models	Status_File	Summary_File
0.1	Con-LAEC 菌群	partial_or_failed	9	27	9	9	adaboost,glmnet,kknn,naive_bayes,nnet,rf,rpart,svm,xgboost	run_model_0.1_step2/step3_shap_formal_case_control_force_20260527/step3_shap_status.tsv	run_model_0.1_step2/step3_shap_formal_case_control_force_20260527/step3_shap_summary.xlsx
0.2	Con-LAEC 代谢组	partial_or_failed	9	27	9	9	adaboost,glmnet,kknn,naive_bayes,nnet,rf,rpart,svm,xgboost	run_model_0.2_step2/step3_shap_formal_case_control_force_20260527/step3_shap_status.tsv	run_model_0.2_step2/step3_shap_formal_case_control_force_20260527/step3_shap_summary.xlsx
0.3	Con-LAEC 多组学	partial_or_failed	9	27	9	9	adaboost,glmnet,kknn,naive_bayes,nnet,rf,rpart,svm,xgboost	run_model_0.3_step2/step3_shap_formal_case_control_force_20260527/step3_shap_status.tsv	run_model_0.3_step2/step3_shap_formal_case_control_force_20260527/step3_shap_summary.xlsx
1.0	临床基线	partial_or_failed	9	27	7	13	adaboost,glmnet,kknn,naive_bayes,nnet,rf,rpart,svm,xgboost	run_model_1.0_step2/step3_shap_formal_case_control_force_20260527/step3_shap_status.tsv	run_model_1.0_step2/step3_shap_formal_case_control_force_20260527/step3_shap_summary.xlsx
1.1	临床 + NRT前菌群	partial_or_failed	9	27	8	11	adaboost,glmnet,kknn,naive_bayes,nnet,rf,rpart,svm,xgboost	run_model_1.1_step2/step3_shap_formal_case_control_force_20260527/step3_shap_status.tsv	run_model_1.1_step2/step3_shap_formal_case_control_force_20260527/step3_shap_summary.xlsx
1.2	临床 + NRT前代谢组	partial_or_failed	9	27	9	9	adaboost,glmnet,kknn,naive_bayes,nnet,rf,rpart,svm,xgboost	run_model_1.2_step2/step3_shap_formal_case_control_force_20260527/step3_shap_status.tsv	run_model_1.2_step2/step3_shap_formal_case_control_force_20260527/step3_shap_summary.xlsx
1.3	临床 + NRT前多组学	partial_or_failed	9	27	4	19	adaboost,glmnet,kknn,naive_bayes,nnet,rf,rpart,svm,xgboost	run_model_1.3_step2/step3_shap_formal_case_control_force_20260527/step3_shap_status.tsv	run_model_1.3_step2/step3_shap_formal_case_control_force_20260527/step3_shap_summary.xlsx
1.4	临床 + 菌群差值	partial_or_failed	9	27	7	13	adaboost,glmnet,kknn,naive_bayes,nnet,rf,rpart,svm,xgboost	run_model_1.4_step2/step3_shap_formal_case_control_force_20260527/step3_shap_status.tsv	run_model_1.4_step2/step3_shap_formal_case_control_force_20260527/step3_shap_summary.xlsx
1.5	临床 + 代谢组差值	partial_or_failed	9	27	0	27	adaboost,glmnet,kknn,naive_bayes,nnet,rf,rpart,svm,xgboost	run_model_1.5_step2/step3_shap_formal_case_control_force_20260527/step3_shap_status.tsv	
1.6	临床 + 多组学差值	partial_or_failed	9	27	9	9	adaboost,glmnet,kknn,naive_bayes,nnet,rf,rpart,svm,xgboost	run_model_1.6_step2/step3_shap_formal_case_control_force_20260527/step3_shap_status.tsv	run_model_1.6_step2/step3_shap_formal_case_control_force_20260527/step3_shap_summary.xlsx
