model_id	modality	label_cn	feature_id	raw_feature	step2_tag
0.1	metabolome	非靶代谢	Metabolite_1_2_Dimyristoyl_sn_glycero_3_phosphate	1,2-Dimyristoyl-sn-glycero-3-phosphate	run_model_0.1_metabolome_step2
0.1	metabolome	非靶代谢	Metabolite_1_Myristoyl_sn_glycero_3_phosphocholine	1-Myristoyl-sn-glycero-3-phosphocholine	run_model_0.1_metabolome_step2
0.1	metabolome	非靶代谢	Metabolite_1_Palmitoyl_sn_glycero_3_phosphocholine	1-Palmitoyl-sn-glycero-3-phosphocholine	run_model_0.1_metabolome_step2
0.1	metabolome	非靶代谢	Metabolite_1_Stearoyl_2_docosahexaenoyl_sn_glycero_3_phosphocholine	1-Stearoyl-2-docosahexaenoyl-sn-glycero-3-phosphocholine	run_model_0.1_metabolome_step2
0.1	metabolome	非靶代谢	Metabolite_2_Deoxyribose_5_phosphate	2-Deoxyribose 5-phosphate	run_model_0.1_metabolome_step2
0.1	metabolome	非靶代谢	Metabolite_3_Dehydroepiandrosterone_sulfate	3-Dehydroepiandrosterone sulfate	run_model_0.1_metabolome_step2
0.1	metabolome	非靶代谢	Metabolite_3_Hydroxy_2_9Z_12Z_octadeca_9_12_dienoyloxy_propyl_2_trimethylazaniumyl_ethyl_phosphate	3-Hydroxy-2-((9Z,12Z)-octadeca-9,12-dienoyloxy)propyl 2-(trimethylazaniumyl)ethyl phosphate	run_model_0.1_metabolome_step2
0.1	metabolome	非靶代谢	Metabolite_5_Chloro_2_4_fluorophenoxy_benzoic_acid	5-Chloro-2-(4-fluorophenoxy)benzoic acid	run_model_0.1_metabolome_step2
0.1	metabolome	非靶代谢	Metabolite_Benzoylecgonine	Benzoylecgonine	run_model_0.1_metabolome_step2
0.1	metabolome	非靶代谢	Metabolite_Decamethylcyclopentasiloxane	Decamethylcyclopentasiloxane	run_model_0.1_metabolome_step2
0.1	metabolome	非靶代谢	Metabolite_Dl_lactate	Dl-lactate	run_model_0.1_metabolome_step2
0.1	metabolome	非靶代谢	Metabolite_Ferulic_acid_dilactone	Ferulic acid dilactone	run_model_0.1_metabolome_step2
0.1	metabolome	非靶代谢	Metabolite_Glycerophosphocholine	Glycerophosphocholine	run_model_0.1_metabolome_step2
0.1	metabolome	非靶代谢	Metabolite_Hexamethylcyclotrisiloxane	Hexamethylcyclotrisiloxane	run_model_0.1_metabolome_step2
0.1	metabolome	非靶代谢	Metabolite_Linolenic_acid	Linolenic acid	run_model_0.1_metabolome_step2
0.1	metabolome	非靶代谢	Metabolite_N_N_Dimethyldodecylamine_N_oxide	N,N-Dimethyldodecylamine N-oxide	run_model_0.1_metabolome_step2
0.1	metabolome	非靶代谢	Metabolite_N_Oleoyl_D_erythro_sphingosylphosphorylcholine	N-Oleoyl-D-erythro-sphingosylphosphorylcholine	run_model_0.1_metabolome_step2
0.1	metabolome	非靶代谢	Metabolite_Phenylacetyl_L_glutamine	Phenylacetyl-L-glutamine	run_model_0.1_metabolome_step2
0.1	metabolome	非靶代谢	Metabolite_Piperine	Piperine	run_model_0.1_metabolome_step2
0.1	metabolome	非靶代谢	Metabolite_Pseudouridine	Pseudouridine	run_model_0.1_metabolome_step2
0.1	metabolome	非靶代谢	Metabolite_Sulfamethazine	Sulfamethazine	run_model_0.1_metabolome_step2
0.1	metabolome	非靶代谢	Metabolite_Taurine	Taurine	run_model_0.1_metabolome_step2
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Abiotrophia	Abiotrophia	run_model_0.2_oral_bacteria_step2
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Actinomyces	Actinomyces	run_model_0.2_oral_bacteria_step2
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Bergeyella	Bergeyella	run_model_0.2_oral_bacteria_step2
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Butyrivibrio	Butyrivibrio	run_model_0.2_oral_bacteria_step2
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Candidatus_Saccharimonas	Candidatus_Saccharimonas	run_model_0.2_oral_bacteria_step2
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Eubacterium_sulci_group	[Eubacterium]_sulci_group	run_model_0.2_oral_bacteria_step2
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Fusobacterium	Fusobacterium	run_model_0.2_oral_bacteria_step2
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Gemella	Gemella	run_model_0.2_oral_bacteria_step2
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Gracilibacteria_Absconditabacteriales_SR1_Incertae_Sedis	Gracilibacteria_Absconditabacteriales_(SR1)_Incertae_Sedis	run_model_0.2_oral_bacteria_step2
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Granulicatella	Granulicatella	run_model_0.2_oral_bacteria_step2
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Haemophilus	Haemophilus	run_model_0.2_oral_bacteria_step2
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Lancefieldella	Lancefieldella	run_model_0.2_oral_bacteria_step2
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Megasphaera	Megasphaera	run_model_0.2_oral_bacteria_step2
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Oribacterium	Oribacterium	run_model_0.2_oral_bacteria_step2
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Solobacterium	Solobacterium	run_model_0.2_oral_bacteria_step2
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Stomatobaculum	Stomatobaculum	run_model_0.2_oral_bacteria_step2
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Streptococcus	Streptococcus	run_model_0.2_oral_bacteria_step2
0.2	oral_bacteria	口腔细菌属	Genus_OralBacteria_Veillonella	Veillonella	run_model_0.2_oral_bacteria_step2
0.3	oral_fungi	口腔真菌属	Genus_OralFungi_Ascomycota_gen_Incertae_sedis	Ascomycota_gen_Incertae_sedis	run_model_0.3_oral_fungi_step2
0.3	oral_fungi	口腔真菌属	Genus_OralFungi_Aspergillus	Aspergillus	run_model_0.3_oral_fungi_step2
0.3	oral_fungi	口腔真菌属	Genus_OralFungi_Bipolaris	Bipolaris	run_model_0.3_oral_fungi_step2
0.3	oral_fungi	口腔真菌属	Genus_OralFungi_Candida	Candida	run_model_0.3_oral_fungi_step2
0.3	oral_fungi	口腔真菌属	Genus_OralFungi_Cryptococcus	Cryptococcus	run_model_0.3_oral_fungi_step2
0.3	oral_fungi	口腔真菌属	Genus_OralFungi_Debaryomycetaceae_gen_Incertae_sedis	Debaryomycetaceae_gen_Incertae_sedis	run_model_0.3_oral_fungi_step2
0.3	oral_fungi	口腔真菌属	Genus_OralFungi_Dothideomycetes_gen_Incertae_sedis	Dothideomycetes_gen_Incertae_sedis	run_model_0.3_oral_fungi_step2
0.3	oral_fungi	口腔真菌属	Genus_OralFungi_Geotrichum	Geotrichum	run_model_0.3_oral_fungi_step2
0.3	oral_fungi	口腔真菌属	Genus_OralFungi_Gomphillus	Gomphillus	run_model_0.3_oral_fungi_step2
0.3	oral_fungi	口腔真菌属	Genus_OralFungi_Hypsizygus	Hypsizygus	run_model_0.3_oral_fungi_step2
0.3	oral_fungi	口腔真菌属	Genus_OralFungi_Komagataella	Komagataella	run_model_0.3_oral_fungi_step2
0.3	oral_fungi	口腔真菌属	Genus_OralFungi_Lecanoromycetes_gen_Incertae_sedis	Lecanoromycetes_gen_Incertae_sedis	run_model_0.3_oral_fungi_step2
0.3	oral_fungi	口腔真菌属	Genus_OralFungi_Malassezia	Malassezia	run_model_0.3_oral_fungi_step2
0.3	oral_fungi	口腔真菌属	Genus_OralFungi_Pichia	Pichia	run_model_0.3_oral_fungi_step2
0.3	oral_fungi	口腔真菌属	Genus_OralFungi_Saccharomyces	Saccharomyces	run_model_0.3_oral_fungi_step2
0.3	oral_fungi	口腔真菌属	Genus_OralFungi_Saprochaete	Saprochaete	run_model_0.3_oral_fungi_step2
0.3	oral_fungi	口腔真菌属	Genus_OralFungi_Yarrowia	Yarrowia	run_model_0.3_oral_fungi_step2
0.4	gut_bacteria	肠道细菌属	Genus_GutBacteria_Agathobaculum	Agathobaculum	run_model_0.4_gut_bacteria_step2
0.4	gut_bacteria	肠道细菌属	Genus_GutBacteria_Butyribacter	Butyribacter	run_model_0.4_gut_bacteria_step2
0.4	gut_bacteria	肠道细菌属	Genus_GutBacteria_Dialister	Dialister	run_model_0.4_gut_bacteria_step2
0.4	gut_bacteria	肠道细菌属	Genus_GutBacteria_Enterobacteriaceae_unclassified	Enterobacteriaceae_unclassified	run_model_0.4_gut_bacteria_step2
0.4	gut_bacteria	肠道细菌属	Genus_GutBacteria_Enterocloster	Enterocloster	run_model_0.4_gut_bacteria_step2
0.4	gut_bacteria	肠道细菌属	Genus_GutBacteria_Escherichia_Shigella	Escherichia-Shigella	run_model_0.4_gut_bacteria_step2
0.4	gut_bacteria	肠道细菌属	Genus_GutBacteria_Eubacterium_eligens_group	[Eubacterium]_eligens_group	run_model_0.4_gut_bacteria_step2
0.4	gut_bacteria	肠道细菌属	Genus_GutBacteria_Faecalibacterium	Faecalibacterium	run_model_0.4_gut_bacteria_step2
0.4	gut_bacteria	肠道细菌属	Genus_GutBacteria_Haemophilus	Haemophilus	run_model_0.4_gut_bacteria_step2
0.4	gut_bacteria	肠道细菌属	Genus_GutBacteria_Lachnoclostridium	Lachnoclostridium	run_model_0.4_gut_bacteria_step2
0.4	gut_bacteria	肠道细菌属	Genus_GutBacteria_Lachnospira	Lachnospira	run_model_0.4_gut_bacteria_step2
0.4	gut_bacteria	肠道细菌属	Genus_GutBacteria_Lachnospiraceae_GCA_900066575	Lachnospiraceae_GCA-900066575	run_model_0.4_gut_bacteria_step2
