Features	HC1	HC2	HC3	HC4	HC5	HC6	HC7	HC8	HC9	HC10	HC11	HC12	HC13	HC14	HC15	HC16	HC17	HC18	HC19	HC21	HC22	HC23	HC24	HC25	HC26	HC27	HC28	HC29	HC30	HC31	HC32	HC33	HC34	HC35	HC36	HC38	HC39	HC40	HC41	HC42	HC43	HC44	HC45	HC46	HC47	HC48	AF33	AF36	AF37	AF38	AF39	AF40	AF41	AF43	AF44	AF45	AF46	AF47	AF48	AF49	AF50	AF51	AF52	AF53	AF54	AF55	AF58	AF59	AF62	AF63	AF64	AF67	AF68	AF69	AF70	AF71	AF73	AF74	AF76	AF78	AF80	AF81	AF82	AF90	AF97	AF98	AF102	AF103	AF104	AF106	AF108	AF109	AF112	AF115	AF117	AF119	AF120	AF123	AF125	AF126	AF129	AF130	AF136	AF137	AF139	AF140	AF141	AF142	AF164	AF165	AF166	AF167	AF169	AF171	AF172	AF176	AF177	AF178	AF179	AF180	AF181	AF182	AF183	AF184	AF186	AF216	AF217	AF219	AF220	AF229	AF96	AF213	AF4	AF6	AF7	AF8	AF10	AF11	AF13	AF15	AF17	AF20	AF21	AF24	AF25
Metabolite_3_Dehydroepiandrosterone_sulfate	157152060.3	1049425425	933821622.8	1007105645	561960358.9	803852316.9	1163298316	1490629450	1464494822	803343777.4	2023164232	1630311305	1762224011	1504707344	1839619352	3123368996	2174671803	1513317117	662171190.2	189275060.4	1223975840	1479217940	1091902338	1608906963	766696874.9	317494214.5	424880277	857477060.4	790102537.6	248623972.6	1251310342	1804358975	298794826.7	531501389.6	232929151.2	1109121883	1215875937	1125736912	2026143051	1701849762	970223455.9	877881305.3	778370145.2	1897633546	1140384720	1150931182	1908555541	130067100.2	97670785.62	345122322.9	643627408.3	1465886022	1372652160	387003859.9	686800006.2	305821764.7	74571224.01	274504684.1	496976279.9	163378879.8	336831397	356684051.9	666824246.9	675634187.7	852022983.3	585435642.7	232306621.9	1047827630	412965701.8	87791936.74	173097542.2	502879916.9	121826448.8	146515734.7	691861776.9	1106945015	359671272	415226526.9	853490613.6	221895208.7	1098238560	1021705214	137606350.2	587121859.9	200657566.4	530743864.5	23720828.95	676023662.8	338861613.9	117722253.7	94103215.46	164032245.5	45713434.35	498710792.3	61811032.33	62306847.35	524065915	824382967.6	1176732004	709912887.5	81938726.41	177121745.7	1100661713	458164690.4	883031292.6	73487176.31	185057391.4	119912758.9	261541786.2	163732328.3	225342679.6	583106204.4	189023891.2	207597999.6	171633168.4	14634130.03	169434419.8	215112214.2	677172853.7	115314468.7	217089815.8	86117315.64	246646574.5	237451113.6	528523268	58606222.63	128922896	369548082	32218816.87	433008254.8	490480662	132198069.7	176287534.1	529005330.1	747596823.6	203189307.6	506591836.8	444587507.9	317140468.4	125857776.3	208240679.4	27108265.57	104482642.2	242158908.7	167009639.2
Metabolite_1_2_Dimyristoyl_sn_glycero_3_phosphate	3236353.291	29765155.36	12243147.48	22232179.22	5705193.011	67428767.58	16352410.72	17881552.18	16963101.24	20877812.16	13556842.44	11650448.89	30981208.84	9726165.861	44978564.33	26871093.19	43272273.91	22664665.42	21489172.43	36155882.48	34676799.78	14610187.18	9704848.565	12828803.55	14745030.25	21551652.01	21787495.46	7552303.508	21101742.13	40198292.45	9814595.273	26940706.64	13947530.13	36223375.04	24899287.36	40753819.9	26558674.96	24545243.14	56445887.25	50749995.65	24717348.68	32430852.97	21885096.34	18464324.99	11811970.34	19188397.42	24940822.03	16545004.53	22797966.03	35160440.69	39227763.35	13580608.43	15240424.09	23735880.32	11793080.95	11508289.31	4369611.424	8783873.884	6551088.68	14705215.46	39957365	24902778.18	13512841.87	7693567.042	22627717.53	31134053.98	7164830.623	11639133.03	15063427.54	6988697.451	4541201.456	13481802.53	14890873.45	5188919.021	11961533.08	30061814.16	3720839.51	11973675.65	13243977.71	9551560.558	11595959	7801588.636	11007370.58	11669668.7	17069283.33	21193203.67	11428742.72	14521069.8	10452093.06	8886302.875	14573844.18	17603981.26	9615370.483	5636853.109	8400128.261	15597439.74	12853624.9	4205287.168	7585719.99	13116845.91	9704725.062	7168378.27	8125555.999	16012748.37	12058956	7204709.18	21225990.99	10667904.88	10196356.24	10434185.29	18431630.29	15787648.07	5500984.108	8268828.173	11109781.16	36844558.32	14567434.79	21400816.12	3295410.048	19666386.04	6614853.984	8916241.921	11979864.57	24180442.32	16445201.58	13600525.32	6070724.47	22380041.83	9180149.928	25835405.51	7336744.367	8492174.28	4562247.853	6784184.117	2071592.539	7213005.966	15424715.2	3841832.95	2568788.792	4470341.872	6558244.861	3106811.402	2710125.391	4100039.965	7828198.019
Metabolite_16_Phenoxytetranorprostaglandin_A2	97050619.34	1072348212	545633125.9	287663782.9	818018669	416493448.8	1075461379	1686523849	1540472960	893898663.8	1051863072	728046535.7	909787872	1010374761	753752631.8	2304177267	2122769762	1009552884	292568731.9	414573812.9	648550584.5	962462864.5	671412391.2	1204019753	380137502.4	163231887.1	337608738.4	389073299.4	605199354.1	220231140.7	280135547	1339196971	265058207.7	337309211.4	408984471.1	742377167.8	513844947.2	563306057.3	715224171.1	1817076643	897399657.2	397865663.7	1347283237	834230849.7	823367439.4	700414260.7	1083216902	121794482.7	87456813.54	664620605.4	282516198.4	1288720821	1406759180	410775718.2	555132251	274847403.5	113717282.6	208838645.3	665840668.2	136571318.8	172728392.7	407447315.7	401133176.4	354715894.1	638995601.1	562930764.5	354812047.2	1009648521	193557824.1	109458967.6	49881709.26	968975810.1	256697519.9	141536546.9	1231460457	904980643.4	323719335.9	406295380.2	815296216.6	216634873.4	484583600.6	774347753.8	208763037.7	470602849.7	72993615.37	410629653.7	20447542.84	536558051.4	80605523.97	65166684.02	65364970.37	320903900	22061598.13	552446054.3	236154621.9	136532366.8	557612994.8	617005282.1	552259889	696467760.6	28472411.86	28732473.42	711305764.2	702911070.8	760348063.9	58363800.47	182069987.2	161613338.9	228144268.4	68393668.87	297333019.4	949191606	140732004.8	114717680.3	115342903.9	4689731.237	266154132.5	229751116.4	606544837.2	62764135.64	434599778.5	73938882.59	279785179.8	201628150.3	737002097.4	30120169.06	199240027.1	396175073.6	16709749.47	142205105.9	423485976.4	70946147.4	155272638.7	395467044	684533918.8	89425849.62	176748114.6	354797453.9	130439126.1	112107401.4	65512001.54	5832535.658	103085093.5	261059563.9	162430632.5
Metabolite_Mitragynine	24687463.1	145906202.2	169287550.5	172600559.4	117166031.3	75856677.35	260040701.5	208857984.7	131759208.9	96449418.82	254561317.1	278154317.6	205977207.7	243989239.8	186297265	230986673.1	222345445.6	145677698	97085807.73	23869011.08	250537417.6	238326490.3	167000302.5	150777011.3	65535082.87	28716598.66	93308954.64	117191385.2	77296728.33	22808011.67	300034038.8	149416920.2	17528182.15	76221615.23	23675675.33	96215803.85	172161105.2	74812186.7	256390654.1	305854674.8	88557857.83	83428586.51	46429790.27	299872641.5	217188354.3	167565443.9	225082780.5	35282320.59	17126484.34	74803118.35	104012851.7	189537549.8	123643098.5	199544987.2	104607920.4	67331590.03	28215253.79	94988974.2	149307783.9	49784201.81	31086952.78	63519524.6	95512324.58	159150413.5	141135200.6	54666292.61	54036753.85	140887837.7	40075653.05	27472916.32	48015349.39	136869556.2	42632743.99	49696381.83	85481043.8	220328530.6	61579988.8	64198310.84	129013648.7	104910576.3	118269440.8	102639013.6	11390358.78	79205169.78	44628196.56	78695862.3	7570906.343	73059984.31	91952687.28	119225386.6	28363009.09	25939511.22	33065308.98	76595846.58	32806762.28	6025890.459	100772123.9	120431703.8	190320061.1	206431607.9	26724088.85	136126968	111491655.6	34425610.77	117302561.6	21256952.16	74223045.36	16735298.93	54079764.29	18971148.58	54046558.78	100373754.7	35546073.32	139857864.5	44402305.25	12926743.07	39702601.44	33301397.14	127688657	26570475.5	48105780.01	41614650.1	31514409.97	74254134.33	62350217.58	11402907.45	71004143.65	38285043.44	14008566.65	156131410.6	89174877.67	104050625.5	72883657.92	48324612.87	125079623.4	66999553.3	131805551.8	136480858.5	44783574.85	226685519.3	68567347.8	23680229.36	23668774.06	85187950.47	39271783.9
Metabolite_Arachidic_acid	749299.4822	8188903.5	9541200.225	14544693.33	3021717.324	6125677.984	2575495.38	6804193.106	7088839.847	7631303.286	11983041.58	5657961.109	7383591.75	9474003.887	12989160.05	4549666.07	5773457.745	4408458.137	24218323.66	3175501.949	12502043.54	3818674.363	14932445.82	5252813.572	14335828.31	15903535.32	10179952.27	12248122.93	9552093.371	7352277.847	11271521.35	5552662.089	7831028.026	7564221.466	7747399.563	6615302.802	9517959.432	7965131.831	3117982.265	10485830.56	6087194.589	793371.6814	5403510.028	14175294.39	26523761.71	12337264.79	4784893.115	8892802.756	10537381.56	18621309.55	7979552.976	12395844.4	7488919.73	11487232.55	26583422.18	9225093.527	17946032.38	12423879.47	15074663.91	9312336.447	10350345.74	15663850.02	5763426.743	11230082.14	10103666.5	12535942.65	11733418.58	8308405.42	14392329.8	18191612.22	15582313.41	9302983.25	11455516.54	3745060.017	10138309.46	9634525.531	1591432.942	3866863.687	6277965.169	12804282.76	23205548.32	13755600.27	15071264.77	6652104.453	7904043.479	11617868.73	11696431.23	5391773.333	7433152.999	7893730.819	10811064.76	5006912.315	6403645.136	3872627.547	19420299.22	16654951.89	24540230.68	15306799.2	6552225.872	21402252.83	28242269.46	13210641.05	29683356.74	29565063.82	20217859.23	3730984.749	20899259.09	32169545.11	20072372.83	10094522.84	29187767.26	10796079.02	33563403.6	32049977.29	16529005.7	10970083.55	21788079.8	7815469.539	11275799.61	11184434.12	26721920.06	20167387.31	19704682.6	22060886.26	18082030.88	24268179.73	16342385.76	29590376.99	18795731.35	7108999.963	15050628.89	30033993.32	13764358.22	19378565.63	20454215	5510114.647	12417920.1	17305847.96	25049632.72	39741927.37	25199206.93	22406177.96	24917837.39	21938565.03	27120807.27
Metabolite_5_Chloro_2_4_fluorophenoxy_benzoic_acid	173030533.3	207743614.4	120224019.2	147638823	163004030.3	141667890.9	210803338.2	209349313	143056951.9	183289012.7	175772925	236371895.4	184806468.3	185457102.8	138693703.3	163574271.6	71230000.62	96657889.83	157683010.8	151953709.4	160870678	125591145.2	113540285.3	122650342	107403604.2	110399807.4	142644699.9	121760783.5	147131200	100662124.4	72948510.8	60705252.5	49322330.54	66816920.74	69557919.01	90784768.29	66282343.42	99761828.77	93222996.71	118499400	117761424.7	65618604.61	115679592.6	83889233.08	106043145.5	155127481.4	135355174.8	74801844.52	89502083.62	38019578.58	77041186.47	77849880.79	117533689.1	44339873.81	126799389.1	150045295.7	64931977.79	101710123.3	65394536.99	128680734.4	138941650	44539774.44	95652933.1	50864638.51	87912168.48	61381688.12	32378087.1	30950543.84	103121019.5	36879898.92	172380169.5	20909938.12	74347313.97	74115102.89	36970108.94	56059145.69	68534768.89	114195431.3	100028633.2	82750072.52	98341548.82	133443332.4	16868984.18	61116667.25	30707956.67	84391320.68	45333501.31	158215536.8	151613098.4	210065904.2	137829228.2	42846743.76	125071702.2	99855846.41	97608334.91	85000770.61	118858056.5	101440431.6	95167145.22	69197385.46	68838604.84	44648554.13	98615210.57	106417140.8	136636413.3	102237605.9	81661754.89	29430101.75	66740458.87	43748984.77	52217911.43	30986644.08	47486342.85	120689235	77564406.72	77422552.88	70917739.32	17725013.88	24997521.93	86371477.63	35678007.01	43225647.48	89546944.6	63918816.13	22386186.5	111756927.7	92926872.69	98929474.91	114681760.5	111324103.7	47139715.75	100492856.5	75535041.56	99422210.35	16745317.6	89578180.22	54992036.35	23896523.04	242942573.5	141090160.6	154464124.7	202369450.6	144122545.3	210676658	31201522.21
Metabolite_Valine	430768718.5	455019310.3	396393349.2	450184868.5	431718516.1	559042787.8	718109162.1	681397614.5	672358048.7	404077497.2	628603929.9	613926873.3	746830380.9	391332132.4	525683444.1	629223436.6	486101747.1	466970925.6	559942615.7	578598127.8	319774654.4	527141972.7	659108044.6	402283883.8	471276098.8	480899811.8	391094824.1	338269828.5	499870800.1	350634628.1	524367682.2	455708514.1	420586296.9	506810971.9	650400612.9	432838884.7	497860009.3	505679058.9	472546486.1	605131247.2	432276709.4	725130578.9	451034927.5	483923867.2	668537178.1	516522163.9	518521509	472021305.5	420085140	423136072.1	443352512.7	573695215.4	482162534.5	572032194.5	448409637.5	669367615.6	396644882.7	560674128.3	500137325	366364052.1	494293400.1	339258325.3	339856833.6	296510600.9	525147226.4	540031739.1	323424702.4	454003082.2	332819222.3	331344135.4	506576127.6	628785632.8	365249141.2	358559514.1	374596785.8	668523484	348487408.5	471528214.1	422414184.4	255403791.3	649602571.3	515390761.9	270311765.7	463795008.3	296188678.6	668984486.1	215849244.8	451900724.5	526644997.9	367588369.4	258377402.9	564403840.8	304196881	535135571.6	368933628.5	323172133.7	489806217.4	369008537.3	544443501.7	423978773.5	422735161.3	223620090.9	522306202.5	359042210.8	575390427.8	476824782	288293628.8	298397541.1	368388579.9	312812915.5	254776827.3	300882554.2	322015823.9	414193387.8	415207607.2	330624158.3	390317136.7	312894256.3	384413837.6	501061679.7	444078813.3	411746678.6	300667449.2	226671389.1	374893511.4	204454701.4	356410191.6	417455046.8	387832974.7	524184548.5	296891356.9	411919035.7	349119690.5	399236558	292212664.8	385638113.4	495350097.5	334246717.7	534338143.2	382475146.3	235346231.3	431785087.5	324679484.2	478149026.2	427340203.2
Metabolite_2_Deoxyribose_5_phosphate	56883962.52	50278400.29	54989007.08	52775225.96	44929198.43	39119373.38	27990141.15	35761067.6	75672216.66	45045418.33	89639071.89	31698197.74	62643448.23	98618921.2	61416617.12	57943968.97	41134814.92	53069427.54	57811421.47	68307612.59	116964719.8	46418470.44	70791138.29	91451169.44	69737078.98	80430066.38	127743862.8	60959208.32	69732016.53	90918660.41	82592643.1	60588499.98	156836880.3	79237630.37	70549871.17	89919628.06	132676989.1	44540687.99	54681063.18	62430009.79	47463368.21	42827154.73	61320155.49	83598368.43	57006306.49	42722927.42	59511546.63	120622180.5	68731432.33	72217036.4	107075874.6	58634063.31	158753742.2	50051907.63	169082585.4	37075886.89	86275738.9	53596167.21	85970441.77	103979607.3	92592148.53	81598133.83	70903406.53	73966026.4	72169075.91	53737817.28	141269031.5	160230942.9	151063438	83609387.83	27987821.27	89061481.16	83722403.13	82220381.73	126903448.1	58030354.87	154544948.3	105765619	114723133.3	160697712.4	80434234.29	112263869	149189713.5	104707246.6	205928500.9	79174246.63	156556109.7	69214231.98	54775303.24	112734011.5	125893838.3	60565635.44	105409168.5	69340645.57	75279154.94	90868806.21	76229645.55	121746679.3	64133526.3	130491204.6	240781517.1	131415404.5	48134687.28	90087987.7	85109600.76	42928845.91	97074482.94	149206229.8	85282874.02	85162299.16	141169857.9	220995419.7	157832914.6	128810260.9	119643865.2	158010216.2	82941627.19	169862671	119471882	62137066.45	76947057.41	109622332.7	91476849.48	108029894.4	69418223.8	165332945.1	75089475.57	109531276.9	90729669.33	57092564.6	133547774.2	77454323.89	155792708.1	111288430.2	154135510.7	37090966.08	67893809.6	140559500.2	39037450.29	84149752.35	194746842.8	16191044.68	120284987.9	51267434.26	138754018.7
Metabolite_5_alpha_Pregnan_3_alpha_17_diol_20_one_3_sulfate	40725879.49	46535115.72	54778410.28	28290979.94	42044653.7	23862134.07	132818020	114915491.2	57369601.96	25436034.21	107252525.7	110168863.2	113145050.8	82520647.04	79125804.14	124887056.1	186530519.9	52149323.41	20449033.95	21709678.37	43250577.69	79070917.04	43850473.48	67396250.42	27620995.37	18170713.85	18424678.39	32058779.83	25069165.81	8859110.063	80442956.8	70110395.09	7203045.078	14039672.55	8711497.686	33053479.49	42269459.84	8464778.259	42896214.43	165347738	17826241.45	21998272.08	25205047.69	61237495.94	97825851.67	111182284.4	100050375.9	18896894.17	10414297.78	29744264.39	28118379.47	74245226.09	45629552.38	39581545.01	34049170.62	37717022.63	7003442.782	52773896.27	53129576.43	5786829.322	15748517.41	23976788.55	40055087.03	34482244.1	31538143.64	20287321.35	13870180.25	37721172.28	11205713.65	6938884.356	31862532.75	26169556.92	12471851.29	19040331.99	41632799.03	82240118.47	21109725.25	26765944.26	60035345.74	17074272.38	51497370.87	28356853.02	5330895.945	26575839.49	19239490.55	34878580.96	3282402.491	22243424.64	33118395.21	54575156.05	3887852.831	11141401.9	7108669.743	50377487.44	10733596.2	1460916.552	70946791.85	45052820.22	64321226.8	64407119.95	8756919.827	26831661.35	84847073.6	13284976.31	106195175.3	11748029.58	23880445.72	5983053.875	11343033.09	7751366.652	8800314.503	23978015.11	9299244.605	26073502.05	12155796.4	4167537.216	26843415.15	9299734.019	35863973.86	19719827.13	18167422.91	12359924.86	23634814.92	25810657.88	38429830.01	8789378.394	21268173.86	11570268.12	5340616.414	86898042.63	16755797.52	41306817.85	23542197.36	26919264.5	28618916.81	21860353.37	40011158.13	28407702.23	11701810.43	72445528.9	33721735.94	7850422.869	12706003.46	30934100.61	8620753.645
Metabolite_Dl_lactate	12176359209	14064915064	8831714182	12438268764	10690383286	9942812775	11568764749	12120297372	10322579150	13432176097	9338701846	14233546928	12852751422	11656626701	10694747618	10780645620	5536443703	7056640066	10528655003	11306964303	10405134470	8433016522	8894667697	8050742639	9311238291	9164761367	8493203645	8510663952	10188931380	8620772097	5739060996	5961390648	4261407070	5652353706	5659600655	7315767093	6026339748	7860473605	6856908262	7675362419	7410284755	5367761129	9666203354	7375650785	7297602645	10784662790	9167422619	5519037872	6217632357	3723771631	5618007291	6027804364	7265283769	3668997272	8681179421	10658027710	5484669068	7686719603	4856884854	8155153347	10219561061	4633884093	7339854343	5008738449	7776545504	5372788350	3998939830	3283623721	7821292809	3479245014	10172565133	2663368729	6488741531	6516790007	3784887167	4534536254	5761772061	9681977441	7732308033	6675890869	6948914061	8345054389	2659546963	5333650060	3154117109	6309074355	4082852068	11089441995	10542561354	16693126119	8795668762	3539529343	9599341777	8543634501	6292663140	7629308790	8087619267	8109148321	8948717973	5521120111	5902350377	4784868851	8346018510	7675659987	9541126539	6752901039	7274813787	3527671253	5796393354	4477854533	4227119377	3130323560	4180759316	8845693933	5419684074	6501729174	5704614181	2460989664	2995023296	5347098975	3954478191	3984173510	6595102422	5345993292	2750191177	7165174892	7489138327	8607904259	8894808546	7409399986	4459628641	8624873578	6205030151	9144395804	2776271040	6550024899	4189790318	2594044281	16838617100	9982399256	10609970456	15546973007	10089444433	12828886457	3592362566
