Features	HC1	HC2	HC3	HC4	HC5	HC6	HC7	HC8	HC9	HC10	HC11	HC12	HC13	HC14	HC15	HC16	HC17	HC18	HC19	HC21	HC22	HC23	HC24	HC25	HC26	HC27	HC28	HC29	HC30	HC31	HC32	HC33	HC34	HC35	HC36	HC38	HC39	HC40	HC41	HC42	HC43	HC44	HC45	HC46	HC47	HC48	AF33	AF36	AF37	AF38	AF39	AF40	AF41	AF43	AF44	AF45	AF46	AF47	AF48	AF49	AF50	AF51	AF52	AF53	AF54	AF55	AF58	AF59	AF62	AF63	AF64	AF67	AF68	AF69	AF70	AF71	AF73	AF74	AF76	AF78	AF80	AF81	AF82	AF90	AF97	AF98	AF102	AF103	AF104	AF106	AF108	AF109	AF112	AF115	AF117	AF119	AF120	AF123	AF125	AF126	AF129	AF130	AF136	AF137	AF139	AF140	AF141	AF142	AF164	AF165	AF166	AF167	AF169	AF171	AF172	AF176	AF177	AF178	AF179	AF180	AF181	AF182	AF183	AF184	AF186	AF216	AF217	AF219	AF220	AF229	AF96	AF213	AF4	AF6	AF7	AF8	AF10	AF11	AF13	AF15	AF17	AF20	AF21	AF24	AF25
Genus_OralFungi_Acremonium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Genus_OralFungi_Actinomucor	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Genus_OralFungi_Agaricales_gen_Incertae_sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	859	0	32	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	56	0	0	0	0	0
Genus_OralFungi_Agaricomycetes_gen_Incertae_sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Genus_OralFungi_Agaricus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Genus_OralFungi_Alternaria	2	0	0	0	11	7	6	10	6	490	161	176	0	0	1063	30	15	0	69	1	3	787	161	2	0	0	9	0	0	0	1533	0	9	94	0	6	3	3	0	0	8	26	0	3	0	66	0	39	593	39	14	0	83	456	19	15	7	18	46	70	362	12	30	0	0	56	17	61	0	0	53	33	6	0	128	3	0	26	47	6	10	0	224	0	52	0	48	64	14	23	14	0	0	240	3	50	112	2	0	0	5	171	4	6	75	2	1	0	29	13	184	195	26	6	2	23	0	1	0	13	133	1	0	2	156	0	0	91	0	45	0	6	58	51	0	0	628	0	108	35	1	43	22	4	196
Genus_OralFungi_Apiotrichum	0	0	0	0	2	0	0	0	5	0	0	3	5	0	0	0	0	0	0	115	0	0	30	0	545	1	6	0	0	0	1	0	0	2	0	0	0	3	0	0	341	0	0	105	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	22	0	9	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0
Genus_OralFungi_Ascomycota_gen_Incertae_sedis	29	111	127	183	17	11	70	5	241	18	191	1395	100	187	667	332	191	8121	383	41	2389	3346	17	3675	17	0	572	27	5481	40	484	4042	1	4	3	192	105	60	0	145	7	4	71	297	0	8	511	7311	38	36	9	65	146	298	204	12	319	31	15	78	321	2	59	8	210	41	75	216	542	359	30	309	3	199	1109	10	11	197	47	9	19	801	8	9573	39	51	236	2414	300	444	52	5	127	102	17	18	41	145	391	381	15	34	19	45	544	12	5	5	56	206	230	165	70	5	872	25	24	41	375	56	490	34	66	236	185	79	34	25	8	92	60	26	13	155	410	41	238	174	543	17	11	67	31	365	288
Genus_OralFungi_Aspergillaceae_gen_Incertae_sedis	0	0	0	31	0	182	0	0	0	0	0	31	0	0	0	0	0	0	0	10	0	0	11	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	10	0	0	3	0	0	0	16	0	0	5	0	0	0	0	0	0	5	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	3	10	0	9	0	26	0	0	0	0	24	3	0	0	511	0	0	0	0	0	0	0	0	0	0	0	2	0	0	12	0	0	0	1	0	0	0	0	0	0	15	0	0	0	0	0	33	0	0	17	2569	0	4	1	0	0	7	0	0	0	0	0
Genus_OralFungi_Aspergillus	10	0	0	21	4	2	0	12	4	0	104	37	74	792	0	4	8	9	131	0	0	1	0	5	764	0	226	0	0	0	2665	3	0	47	0	0	0	159	0	320	0	0	0	171	0	54	41	10	18	3	36	18	761	52	0	3	40	15	27	6	501	15	390	3	113	50	236	67	181	66	41	41	1	70	199	39	3	52	15	1	9	133	8	5	954	5	79	99	28	34	166	0	57	33	2	14	5	180	392	87	0	35	10	5	128	5	0	3	82	26	31	100	14	2	43	8	33	8	18	7	63	1	51	35	404	17	84	679	11	222	451	7	85	53	0	33	33	31	2	0	2	69	272	84	54
