Features	HC1	HC2	HC3	HC4	HC5	HC6	HC7	HC8	HC9	HC10	HC11	HC12	HC13	HC14	HC15	HC16	HC17	HC18	HC19	HC21	HC22	HC23	HC24	HC25	HC26	HC27	HC28	HC29	HC30	HC31	HC32	HC33	HC34	HC35	HC36	HC38	HC39	HC40	HC41	HC42	HC43	HC44	HC45	HC46	HC47	HC48	AF33	AF36	AF37	AF38	AF39	AF40	AF41	AF43	AF44	AF45	AF46	AF47	AF48	AF49	AF50	AF51	AF52	AF53	AF54	AF55	AF58	AF59	AF62	AF63	AF64	AF67	AF68	AF69	AF70	AF71	AF73	AF74	AF76	AF78	AF80	AF81	AF82	AF90	AF97	AF98	AF102	AF103	AF104	AF106	AF108	AF109	AF112	AF115	AF117	AF119	AF120	AF123	AF125	AF126	AF129	AF130	AF136	AF137	AF139	AF140	AF141	AF142	AF164	AF165	AF166	AF167	AF169	AF171	AF172	AF176	AF177	AF178	AF179	AF180	AF181	AF182	AF183	AF184	AF186	AF216	AF217	AF219	AF220	AF229	AF96	AF213	AF4	AF6	AF7	AF8	AF10	AF11	AF13	AF15	AF17	AF20	AF21	AF24	AF25
Genus_GutBacteria_Absiella	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	13	0	0	76	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Genus_GutBacteria_Acidaminococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141	0	1	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Genus_GutBacteria_Acinetobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Genus_GutBacteria_Acutalibacter	0	24	1	9	2	14	0	12	6	0	15	36	18	39	18	0	0	11	2	13	29	8	11	27	104	2	7	30	29	73	3	2	40	0	26	18	8	22	2	0	19	10	13	8	69	4	111	3	0	6	6	24	2	4	0	5	27	14	6	0	14	20	11	0	3	0	0	1	5	1	17	0	0	21	12	1	5	0	0	11	2	16	10	4	9	39	4	32	14	0	0	24	28	0	39	0	73	16	0	8	10	3	0	8	0	7	6	15	3	0	0	12	0	9	20	4	10	6	6	6	0	2	0	25	0	0	3	31	0	0	0	6	7	11	10	55	8	15	0	4	0	8	18	15	29
Genus_GutBacteria_Adlercreutzia	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	4	0	0	9	3	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	17	8	0	6	0	0	0	0	2	0	0	0	0	9	0	0	0	0	0	0	2	0	0	0	1	0	0	0	5	0	0	0	0	0	0	0	4	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Genus_GutBacteria_Agathobacter	157	0	11	171	26	467	455	1305	549	68	44	52	16	495	528	61	314	1166	559	417	29	606	898	1795	198	365	787	71	0	12	858	1021	19	331	0	54	190	706	378	0	1535	215	1435	153	115	27	0	697	13	120	1582	0	1885	231	1713	180	1809	1033	280	0	0	184	189	156	0	62	0	514	590	2	46	22	774	18	219	351	1012	9	136	629	3044	716	328	299	101	0	0	177	1034	44	0	476	379	82	523	1272	54	40	0	93	369	91	450	356	322	5	21	48	236	107	0	88	74	253	123	320	0	629	411	4	94	540	39	22	293	299	29	379	0	136	0	1559	411	0	220	25	2	0	29	0	0	4	76	17	3040
Genus_GutBacteria_Agathobaculum	39	212	34	0	59	135	41	86	41	399	0	138	22	133	232	63	38	18	56	15	138	34	31	21	118	10	84	190	41	37	239	28	28	68	0	0	85	67	111	0	126	25	108	40	73	81	81	22	1	0	13	174	67	519	195	3	117	62	69	63	561	0	7	80	42	25	16	56	15	0	37	0	29	29	10	25	45	0	51	24	34	33	42	6	23	0	0	28	100	0	0	4	14	37	0	36	34	58	12	14	5	20	26	38	20	0	4	8	2	0	0	0	9	50	0	0	7	18	4	0	34	10	0	0	11	3	46	51	0	21	0	261	38	0	23	2	18	0	6	0	0	0	164	0	0
Genus_GutBacteria_Aggregatibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
Genus_GutBacteria_Akkermansia	0	29	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	212	0	0	2	0	0	41	0	0	0	0	0	0	6	0	0	28	0	0	0	0	0	0	0	0	0	0	0	3	2	2	0	0	1	0	0	71	0	20	0	0	0	1463	0	0	0	0	127	7	0	0	0	97	0	0	0	0	1390	3	0	0	0	75	0	0	106	0	0	0	0	0	0	142	0	10	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	59	0	0	580	48	0	294	0	0	0	0	0	0	0	38	0	0	115	0	0	0	103	0	0	0	0	0	0	296	3	0	0	1694	155	0
Genus_GutBacteria_Alistipes	53	114	166	484	17	13	19	45	0	14	238	274	1	38	10	52	5	1	4	276	49	278	81	151	86	0	0	313	0	18	92	89	170	103	0	172	72	103	7	0	286	5	23	0	28	26	66	657	2313	421	43	5	27	1	0	597	10	0	0	0	0	221	91	15	0	0	1000	435	376	1	531	64	462	205	48	215	282	0	0	36	175	315	236	175	0	27	725	100	0	306	0	279	635	621	0	0	165	151	0	60	210	374	10	116	57	43	7	144	95	485	1293	111	0	111	1046	338	88	1449	148	424	224	16	1366	1124	823	0	229	211	0	2	0	112	8	8	88	217	3	174	0	0	0	0	130	1085	137
