Features	HC1	HC2	HC3	HC4	HC5	HC6	HC7	HC8	HC9	HC10	HC11	HC12	HC13	HC14	HC15	HC16	HC17	HC18	HC19	HC21	HC22	HC23	HC24	HC25	HC26	HC27	HC28	HC29	HC30	HC31	HC32	HC33	HC34	HC35	HC36	HC38	HC39	HC40	HC41	HC42	HC43	HC44	HC45	HC46	HC47	HC48	AF33	AF36	AF37	AF38	AF39	AF40	AF41	AF43	AF44	AF45	AF46	AF47	AF48	AF49	AF50	AF51	AF52	AF53	AF54	AF55	AF58	AF59	AF62	AF63	AF64	AF67	AF68	AF69	AF70	AF71	AF73	AF74	AF76	AF78	AF80	AF81	AF82	AF90	AF97	AF98	AF102	AF103	AF104	AF106	AF108	AF109	AF112	AF115	AF117	AF119	AF120	AF123	AF125	AF126	AF129	AF130	AF136	AF137	AF139	AF140	AF141	AF142	AF164	AF165	AF166	AF167	AF169	AF171	AF172	AF176	AF177	AF178	AF179	AF180	AF181	AF182	AF183	AF184	AF186	AF216	AF217	AF219	AF220	AF229	AF96	AF213	AF4	AF6	AF7	AF8	AF10	AF11	AF13	AF15	AF17	AF20	AF21	AF24	AF25
Genus_GutFungi_Actinomucor	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	99	10
Genus_GutFungi_Agaricomycetes_gen_Incertae_sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	44	0	0	0	0	0	0	0	0	0	5	0	0	0	0	10	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20
Genus_GutFungi_Alternaria	0	0	0	0	0	0	4	0	0	0	0	0	1736	0	39	73	0	0	43	0	4	0	0	0	0	0	0	12	0	8	0	1	0	0	0	4	57	0	2	3	0	86	0	23	0	0	0	0	46	0	0	0	152	0	0	0	0	24	0	0	0	0	0	0	27	0	0	0	0	0	0	7	0	0	0	0	0	37	1	0	14	22	21	0	0	0	0	0	1	0	0	0	0	12	5	0	0	0	0	0	0	90	0	54	0	0	0	9	55	21	86	28	37	4	32	107	13	50	3	92	8	76	75	39	0	62	0	9	20	4	0	48	17	68	30	57	8	20	40	16	43	60	18	51	89
Genus_GutFungi_Apiosporaceae_gen_Incertae_sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	5	0	8	17	3	35	7	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	35	15	17	2	6	5	6	20	3	0	12	20
Genus_GutFungi_Apiotrichum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	281	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
Genus_GutFungi_Ascomycota_gen_Incertae_sedis	506	7059	150	346	4357	60	3585	118	88	12	20	18	266	44	32	404	20	8038	60	95	294	9	22	9	44	32	36	2434	0	11	10919	0	0	10	667	36	269	76	13	901	24	7533	9	0	7	68	2115	1094	2846	105	5467	1623	4098	6875	964	6996	2834	8450	896	3129	2604	10764	6869	10888	2728	1671	7167	4737	365	650	781	4350	377	1758	2523	194	9763	98	3918	229	2577	9616	3048	482	707	2921	2645	1040	13	1883	199	4017	153	1403	419	359	10408	10885	1571	722	2243	2227	129	382	101	4440	1163	7884	1134	2077	924	1843	844	6022	3080	895	223	5487	37	1024	9878	628	1876	4450	354	5053	2440	8590	397	356	306	789	9252	1379	4317	2064	5972	1042	4516	315	2994	4790	9253	1141	1236
Genus_GutFungi_Aspergillaceae_gen_Incertae_sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	240	69	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	2	7	0	0	0	0	0	0	0	0	0	0	9	0	0	4	0	15	0	0	0	10	0	0	0	0	0	0	0	0	38	0	0	0	0	0	2	0	0	0	0	0	6	0	12	20	0	0	0	0	0	3
Genus_GutFungi_Aspergillus	1	10	258	52	0	0	0	279	244	0	0	0	0	58	54	0	0	0	47	0	0	1	0	0	35	0	128	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	223	0	0	0	0	23	8	0	0	0	0	0	23	81	91	24	91	0	0	0	0	15	7	33	0	0	14	0	2	0	11	43	0	0	0	41	0	0	0	0	0	384	0	0	24	0	25	10	13	0	1	25	33	10	0	0	4	4	6	0	0	0	0	0	10	77	16	46	0	63	3	89	97	20	65	0	0	4	16	0	157	1	0	2	29	0	0	42	34	15	113	44	42	55	162	18	19	37	39	19	87	62
Genus_GutFungi_Auricularia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	397	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	213	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	216	0
Genus_GutFungi_Bionectriaceae_gen_Incertae_sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
