Features	HC1	HC2	HC3	HC4	HC5	HC6	HC7	HC8	HC9	HC10	HC11	HC12	HC13	HC14	HC15	HC16	HC17	HC18	HC19	HC21	HC22	HC23	HC24	HC25	HC26	HC27	HC28	HC29	HC30	HC31	HC32	HC33	HC34	HC35	HC36	HC38	HC39	HC40	HC41	HC42	HC43	HC44	HC45	HC46	HC47	HC48	AF33	AF36	AF37	AF38	AF39	AF40	AF41	AF43	AF44	AF45	AF46	AF47	AF48	AF49	AF50	AF51	AF52	AF53	AF54	AF55	AF58	AF59	AF62	AF63	AF64	AF67	AF68	AF69	AF70	AF71	AF73	AF74	AF76	AF78	AF80	AF81	AF82	AF90	AF97	AF98	AF102	AF103	AF104	AF106	AF108	AF109	AF112	AF115	AF117	AF119	AF120	AF123	AF125	AF126	AF129	AF130	AF136	AF137	AF139	AF140	AF141	AF142	AF164	AF165	AF166	AF167	AF169	AF171	AF172	AF176	AF177	AF178	AF179	AF180	AF181	AF182	AF183	AF184	AF186	AF216	AF217	AF219	AF220	AF229	AF96	AF213	AF4	AF6	AF7	AF8	AF10	AF11	AF13	AF15	AF17	AF20	AF21	AF24	AF25
Metabolite_1_2_Dimyristoyl_sn_glycero_3_phosphate	3236353.291	29765155.36	12243147.48	22232179.22	5705193.011	67428767.58	16352410.72	17881552.18	16963101.24	20877812.16	13556842.44	11650448.89	30981208.84	9726165.861	44978564.33	26871093.19	43272273.91	22664665.42	21489172.43	36155882.48	34676799.78	14610187.18	9704848.565	12828803.55	14745030.25	21551652.01	21787495.46	7552303.508	21101742.13	40198292.45	9814595.273	26940706.64	13947530.13	36223375.04	24899287.36	40753819.9	26558674.96	24545243.14	56445887.25	50749995.65	24717348.68	32430852.97	21885096.34	18464324.99	11811970.34	19188397.42	24940822.03	16545004.53	22797966.03	35160440.69	39227763.35	13580608.43	15240424.09	23735880.32	11793080.95	11508289.31	4369611.424	8783873.884	6551088.68	14705215.46	39957365	24902778.18	13512841.87	7693567.042	22627717.53	31134053.98	7164830.623	11639133.03	15063427.54	6988697.451	4541201.456	13481802.53	14890873.45	5188919.021	11961533.08	30061814.16	3720839.51	11973675.65	13243977.71	9551560.558	11595959	7801588.636	11007370.58	11669668.7	17069283.33	21193203.67	11428742.72	14521069.8	10452093.06	8886302.875	14573844.18	17603981.26	9615370.483	5636853.109	8400128.261	15597439.74	12853624.9	4205287.168	7585719.99	13116845.91	9704725.062	7168378.27	8125555.999	16012748.37	12058956	7204709.18	21225990.99	10667904.88	10196356.24	10434185.29	18431630.29	15787648.07	5500984.108	8268828.173	11109781.16	36844558.32	14567434.79	21400816.12	3295410.048	19666386.04	6614853.984	8916241.921	11979864.57	24180442.32	16445201.58	13600525.32	6070724.47	22380041.83	9180149.928	25835405.51	7336744.367	8492174.28	4562247.853	6784184.117	2071592.539	7213005.966	15424715.2	3841832.95	2568788.792	4470341.872	6558244.861	3106811.402	2710125.391	4100039.965	7828198.019
Metabolite_1_Myristoyl_sn_glycero_3_phosphocholine	87049846.66	103310755.7	65282987.09	106768526.7	92978161.97	89905367.21	93019490.81	153572434.2	143295502.3	124928378	167852498.2	41154241.71	127339580	145332136.5	153719262	236051641.3	39998809.78	69905983.23	93469289.18	270071873.6	76611392.49	57479119.94	64959496.02	91965027.54	85614548.23	153272988.6	218156771.3	83847359.06	175666011.1	165444789.5	98928815.34	32616217.7	68438315.67	206850314	199052769.9	178102170.1	198899873.3	98054799.7	88718735.86	68111333.02	77514396.21	139626842.8	199238888.9	102996026.1	330456218.9	95327442.76	85920828.01	143351262.6	64697182.16	45913032.27	55971992.63	79858908.79	168382038.2	90415973.72	141910868.8	135011333.9	31509868.57	76632516.91	28838249.77	189026569.4	105204360.9	48222024.72	48726957.33	47140853.62	72446255.7	114775413	34534196.87	91024946.73	89565577.97	87612512.98	36243755.22	38787014.24	88717720.79	135967593	82031819.27	75330277.3	144611566.6	89863613.47	89990034.16	70922694.34	67732129.4	90275643.54	40930765.49	89864073.45	54626348.37	56210726.85	91589679.28	46364994.99	84811041.39	157286203.7	91118668.58	97944680.84	58869520.31	66541304.84	38498891.7	113285430.4	104815627.4	90495871.92	128704736.9	118730693.7	153340626.4	53532306.66	163010649.6	89026613.96	71508862.2	81440651.27	97025241.04	52561032.32	39052020.56	42667190.63	49844271.71	94478468.39	175582588	55111368.02	91965415.16	38187189.74	34288140.95	58355503.68	72380242.43	39179945.63	62854399.69	105492872.6	66780776.4	52147647.25	37597838.49	23780059.75	38576129.67	56165791.22	58656546.26	80497394.71	22152150.65	57538498.34	83632451.63	66516875.35	59947425.09	48882351.8	63484739.46	22322906.63	47155166.58	25757583.97	53867363.66	53761529.58	34559102.95	33164540.47	90459057.6
Metabolite_1_Palmitoyl_sn_glycero_3_phosphocholine	8066542117	8984698181	7993358422	10573482435	11264763143	8530160364	8750804150	8058628842	8147828889	8176876268	7985652180	8055635716	11658602793	10368892853	8053900505	8065681146	7897589027	7775225849	8070447067	10553114663	8832999720	7986545397	7771300471	8791571431	7944701165	7962433373	10227507550	9889498512	11328659215	12611239160	8464661066	6362591999	7920134285	13274231744	7919361966	7858884857	8101103961	7316405944	7991529190	7424333201	6217520184	6861111182	7793852577	8181359255	8011167989	7816276899	7907314666	5552541924	4984918775	6521077597	7594945859	5705661396	8470804054	1655017909	10855574248	7935810750	4642735855	8361965008	3682328167	11859681027	8530372822	6042114429	8513273630	8163300152	8038385586	8094490483	4537280143	8112657737	8371848507	8140894988	8779164025	7660936818	8019070587	8054872768	6555869198	7517145213	7950366032	7939855099	8159324283	6476357041	7912012487	9350908472	4892936592	7841846405	7879233560	4410397453	7985985476	7939127541	8009019596	8604948559	8093484629	7482444608	7962029466	8106448792	5843465363	8106070996	8130151183	8203402038	8113232099	7993554136	8145480790	6247173472	7985697007	11096216095	12655516213	7682129886	7780953795	7902694737	4878608439	5036054320	5859822582	8103795232	9451026860	8041599928	8203098172	7493183691	8000478189	8361848839	7881693689	6003031788	5174271669	7348406359	5439325794	7510730733	5123045075	4854534321	3591661658	7920206355	8016159849	6907888388	6994285414	4524629611	7874323018	6746225862	7436014184	6383246292	6354485033	7893794038	8042823303	3739213578	7980960077	6234287171	5532267717	7528850512	7782711567
Metabolite_1_Stearoyl_2_docosahexaenoyl_sn_glycero_3_phosphocholine	148263416.7	446426049	210602833.2	359980002.9	633657330.7	101440911	75730875.05	148051548.5	683288287.8	192047533.1	136135468.8	76069304.86	72506426	435061656.4	304479193.8	252406562.1	120284568.5	306747976.2	407246482.8	362023201.5	420066655.9	123428130.1	209082576.1	608949216	283532390	321998543.4	408952527.5	602956946.1	450078364.1	369089245.8	491006084.1	212364382.4	594213084.5	319613018.1	264566639.4	335439981.8	394847934.1	310154769	354248617.2	178959140.4	205597704.4	186629944	298298185.1	247398484.1	120989882	78412713.63	254990136	186617135.2	208721656.5	278186264.3	428863141.3	288502923.3	582755001.9	132400431	564395384.3	187262943.4	460999178.1	125172699.5	269451857.8	969123799.6	304722724.5	630666544.6	561897521.5	608292797.2	520921911.7	301881653.9	432500588.6	637938173.1	627980773.7	601931294	201782411.2	390491470.7	519660624.7	624710368.9	442760966.3	349872927.5	503250323.1	395188710.1	375816722.2	623540322.3	370357915	634661636.9	453840331.8	424747376.9	641668068.3	142048157.6	720605287.5	622805643.9	565084048.2	654202757.3	624471936	341674489.7	628222392.2	176400065.6	180525996.8	560570916	283629048.4	641216538.9	286229384.2	587729995.3	644206367.2	634149313.2	136965424.6	616026489.6	111628329.2	230261803.6	227575620.2	655132634.8	501504637.1	370703004	358689519.7	579039371	645012507.7	575588081.3	644337153.9	508775716	88254585.47	440061194.9	509112854.5	157287456	319301312.3	309406589.6	318225847.6	659683631.5	121053202.2	350263813.9	297332631.2	493638483.6	789984518.7	187356264.5	569470618	194434481.4	585569701	402927646.4	605093577.2	225119307.4	184342584.7	645598615.9	446091323.9	471966364.3	620736646.1	290943381.1	221894553.5	593575353.3	626026428.4
Metabolite_2_Deoxyribose_5_phosphate	56883962.52	50278400.29	54989007.08	52775225.96	44929198.43	39119373.38	27990141.15	35761067.6	75672216.66	45045418.33	89639071.89	31698197.74	62643448.23	98618921.2	61416617.12	57943968.97	41134814.92	53069427.54	57811421.47	68307612.59	116964719.8	46418470.44	70791138.29	91451169.44	69737078.98	80430066.38	127743862.8	60959208.32	69732016.53	90918660.41	82592643.1	60588499.98	156836880.3	79237630.37	70549871.17	89919628.06	132676989.1	44540687.99	54681063.18	62430009.79	47463368.21	42827154.73	61320155.49	83598368.43	57006306.49	42722927.42	59511546.63	120622180.5	68731432.33	72217036.4	107075874.6	58634063.31	158753742.2	50051907.63	169082585.4	37075886.89	86275738.9	53596167.21	85970441.77	103979607.3	92592148.53	81598133.83	70903406.53	73966026.4	72169075.91	53737817.28	141269031.5	160230942.9	151063438	83609387.83	27987821.27	89061481.16	83722403.13	82220381.73	126903448.1	58030354.87	154544948.3	105765619	114723133.3	160697712.4	80434234.29	112263869	149189713.5	104707246.6	205928500.9	79174246.63	156556109.7	69214231.98	54775303.24	112734011.5	125893838.3	60565635.44	105409168.5	69340645.57	75279154.94	90868806.21	76229645.55	121746679.3	64133526.3	130491204.6	240781517.1	131415404.5	48134687.28	90087987.7	85109600.76	42928845.91	97074482.94	149206229.8	85282874.02	85162299.16	141169857.9	220995419.7	157832914.6	128810260.9	119643865.2	158010216.2	82941627.19	169862671	119471882	62137066.45	76947057.41	109622332.7	91476849.48	108029894.4	69418223.8	165332945.1	75089475.57	109531276.9	90729669.33	57092564.6	133547774.2	77454323.89	155792708.1	111288430.2	154135510.7	37090966.08	67893809.6	140559500.2	39037450.29	84149752.35	194746842.8	16191044.68	120284987.9	51267434.26	138754018.7
Metabolite_3_Dehydroepiandrosterone_sulfate	157152060.3	1049425425	933821622.8	1007105645	561960358.9	803852316.9	1163298316	1490629450	1464494822	803343777.4	2023164232	1630311305	1762224011	1504707344	1839619352	3123368996	2174671803	1513317117	662171190.2	189275060.4	1223975840	1479217940	1091902338	1608906963	766696874.9	317494214.5	424880277	857477060.4	790102537.6	248623972.6	1251310342	1804358975	298794826.7	531501389.6	232929151.2	1109121883	1215875937	1125736912	2026143051	1701849762	970223455.9	877881305.3	778370145.2	1897633546	1140384720	1150931182	1908555541	130067100.2	97670785.62	345122322.9	643627408.3	1465886022	1372652160	387003859.9	686800006.2	305821764.7	74571224.01	274504684.1	496976279.9	163378879.8	336831397	356684051.9	666824246.9	675634187.7	852022983.3	585435642.7	232306621.9	1047827630	412965701.8	87791936.74	173097542.2	502879916.9	121826448.8	146515734.7	691861776.9	1106945015	359671272	415226526.9	853490613.6	221895208.7	1098238560	1021705214	137606350.2	587121859.9	200657566.4	530743864.5	23720828.95	676023662.8	338861613.9	117722253.7	94103215.46	164032245.5	45713434.35	498710792.3	61811032.33	62306847.35	524065915	824382967.6	1176732004	709912887.5	81938726.41	177121745.7	1100661713	458164690.4	883031292.6	73487176.31	185057391.4	119912758.9	261541786.2	163732328.3	225342679.6	583106204.4	189023891.2	207597999.6	171633168.4	14634130.03	169434419.8	215112214.2	677172853.7	115314468.7	217089815.8	86117315.64	246646574.5	237451113.6	528523268	58606222.63	128922896	369548082	32218816.87	433008254.8	490480662	132198069.7	176287534.1	529005330.1	747596823.6	203189307.6	506591836.8	444587507.9	317140468.4	125857776.3	208240679.4	27108265.57	104482642.2	242158908.7	167009639.2
Metabolite_3_Hydroxy_2_9Z_12Z_octadeca_9_12_dienoyloxy_propyl_2_trimethylazaniumyl_ethyl_phosphate	2598872063	2872107888	2629528880	2593322725	3503229956	3768124138	3537753019	3095397741	3033334659	2635905375	4092624188	4189550315	5325697356	4643039110	3653608186	3606125282	5210095902	2037166152	3617124033	4027853176	3741782412	2458447856	1970413375	2636742676	2759874446	2322729880	3144185774	3201623185	3794125254	2826503115	2468935953	4463327957	3791428230	4084623623	3137445970	2883272237	4939876370	5378188819	7624173432	6371228640	6182513354	4811944532	6936560066	3732798389	3498448954	3145665076	2765359518	2595811237	1856786039	2374838631	2241007499	2496966920	3281904244	2567476629	3334603201	2129757756	1477972855	2704878123	1396088727	2860600028	2894717903	2192451006	1641116995	3500106462	2809253787	2870311253	2758744070	3529579642	2861443733	5871409015	2160434608	2878189413	2666250787	2660291707	3416118401	4124973835	2611502985	2768689059	2628383666	1768720186	3028419560	5013463038	2219629553	3130931636	2889559672	2967061241	3199872386	2655645141	2186609444	2702016283	3494612416	3837104697	2099548092	1679463221	1915126132	2677944003	2291982017	2704032050	2414243935	3559315171	2567881213	2259019342	2058997579	2834506475	5660776369	1871721148	3317936362	3041894394	2678856932	2044592219	2921212832	2834866295	3916598508	1759872966	3317908187	1670701544	4183815765	3404850479	2736519097	2638079259	3051170409	2208296424	1287963745	2926381237	2737611864	2156692472	1108065208	1661111524	1712350786	2955144449	2890613609	1967583445	1460478436	2784876579	1492543040	2662948292	4071468993	1989973304	1227239019	922209879.4	1983268841	1326003211	1416925040	1392008617	2422723154
Metabolite_5_Chloro_2_4_fluorophenoxy_benzoic_acid	173030533.3	207743614.4	120224019.2	147638823	163004030.3	141667890.9	210803338.2	209349313	143056951.9	183289012.7	175772925	236371895.4	184806468.3	185457102.8	138693703.3	163574271.6	71230000.62	96657889.83	157683010.8	151953709.4	160870678	125591145.2	113540285.3	122650342	107403604.2	110399807.4	142644699.9	121760783.5	147131200	100662124.4	72948510.8	60705252.5	49322330.54	66816920.74	69557919.01	90784768.29	66282343.42	99761828.77	93222996.71	118499400	117761424.7	65618604.61	115679592.6	83889233.08	106043145.5	155127481.4	135355174.8	74801844.52	89502083.62	38019578.58	77041186.47	77849880.79	117533689.1	44339873.81	126799389.1	150045295.7	64931977.79	101710123.3	65394536.99	128680734.4	138941650	44539774.44	95652933.1	50864638.51	87912168.48	61381688.12	32378087.1	30950543.84	103121019.5	36879898.92	172380169.5	20909938.12	74347313.97	74115102.89	36970108.94	56059145.69	68534768.89	114195431.3	100028633.2	82750072.52	98341548.82	133443332.4	16868984.18	61116667.25	30707956.67	84391320.68	45333501.31	158215536.8	151613098.4	210065904.2	137829228.2	42846743.76	125071702.2	99855846.41	97608334.91	85000770.61	118858056.5	101440431.6	95167145.22	69197385.46	68838604.84	44648554.13	98615210.57	106417140.8	136636413.3	102237605.9	81661754.89	29430101.75	66740458.87	43748984.77	52217911.43	30986644.08	47486342.85	120689235	77564406.72	77422552.88	70917739.32	17725013.88	24997521.93	86371477.63	35678007.01	43225647.48	89546944.6	63918816.13	22386186.5	111756927.7	92926872.69	98929474.91	114681760.5	111324103.7	47139715.75	100492856.5	75535041.56	99422210.35	16745317.6	89578180.22	54992036.35	23896523.04	242942573.5	141090160.6	154464124.7	202369450.6	144122545.3	210676658	31201522.21
Metabolite_Benzoylecgonine	317786.9929	49427.48748	16535.03495	18231.89193	56300.6664	28624.18609	37990973.46	42059331.03	37985.81398	58506.43463	65242.22305	112938.4797	14761.99031	15359.71423	18605.05462	70628.31055	30454.18459	32160.00215	49210.74448	67785.19718	83442945.72	36859622.44	242674.1578	24909.78758	38069.12997	13459.49876	51790.66392	56838.83851	100336.2518	7990446.043	31346.55908	38270.164	61518.69988	58365.8913	95157.62478	43758037.97	100711.6301	27605.69818	37416467.97	32538.47919	62535.06599	16870.23143	10998.04886	36716.87671	16139.91293	46896230.36	10816.08454	60797268.67	318875114.4	53144315.21	67095.10154	15209.24408	22253.44753	266196.2509	37014.43514	40573602.76	28482311.9	161569042.9	71804197.98	41190.88193	18021.14986	3467630.022	130897676.1	26205.64303	56999.64568	38348224.96	41011.789	25495.29667	4292608.301	40328548.07	83986912.09	44567.49515	21330.52688	49768.3732	757757.8979	35150.49039	43617.71102	24733.37462	961538.6169	54656883.99	49943.37325	41504084.63	11071164.58	15988.95054	263428.4096	174254040.2	10526912.4	54685105.37	217477449.6	162580502.8	44615.80179	46977229.7	11258346.93	80298289.66	17116560.55	37548.73315	133084269.8	4190627.309	78070.98142	1313463.752	2501323.081	33944.94255	22779.52333	82856.61947	42119776.74	24749.07157	8565950.835	37916.25332	8248121.436	50377.85615	3537667.418	31365.82932	282567023.9	68354.94151	21717554.3	43519253.44	32332267.12	1261939.275	31743.40393	48023885.43	21679.20524	139510631.4	51744.63958	1675931.318	9050389.765	345522.2866	53178374.9	10977606.24	346240135	42701215.89	84515.04535	106170.1947	14161194.47	126967.8365	11631.3416	63792293.84	315428.2568	40060.80162	5154402.487	85688.04161	43324576.37	88583.82855	6636617.503	97968202.61	57464.55623
Metabolite_Decamethylcyclopentasiloxane	405410808	439373937.9	498238199.8	269773504.9	448247198.3	482602670.5	545166627.9	512748117.3	398053029.6	483774038.2	499632318	426848615.9	429044200.9	393184336.6	238591.3679	505008769.9	542508642.3	489661511.9	167253.1723	437705289.1	436626219.5	466290192.9	457159395.7	381805683.9	458526436.1	403208596.9	443325734.7	441545807.2	457682968.2	453211156.5	412355794.6	450429738.9	445395220.1	135337.0868	550227730.6	472630382	391695020.3	397631231	472140113.3	514090846.7	302949.1889	533752488.9	139383.1833	370332038.7	535421833.6	471693525.1	451436860.1	461568750.3	491553903.6	558855016.7	467201355.5	514930559.1	492975000.9	586904295.5	393711123.8	531668278.8	441196954.7	446265469.2	146067.3588	490792065	438177468.8	200544.4373	476781014	435003915.4	466154111.5	133044454.6	423374119.6	408116564.9	368083742.4	358243130.5	99164.03205	350964.9837	377146842.8	437575133	386037444.7	538892947.8	460621022.7	423731301.2	437050374.9	387127428.5	556212250.1	410235217	270302079.1	403828244.5	343402547.8	423552124.3	380391280.3	428424991.6	182838.3999	340776096.9	368025914.5	411988538.4	346889795.7	218230640.9	302639845.2	174379805.1	294363088.1	182856600.7	213355085.3	200513680.2	213243275	301133.6983	222396642.6	223651304.7	247413635.5	224807.9296	24384342.68	199153956.4	196051585.1	138295682.6	69011569.79	80281563.49	217175789.2	144835359.8	206863486.6	212215050.5	369211939.2	176186693.1	163231453.3	194552811.3	115960456.2	228029617.7	135492.5163	110737300.9	114533483.1	150806785.3	239463806.7	235076314.7	217316467.2	192919993	378153972.4	165937297.3	125098180.4	90936465.91	180912012.5	75624030	62273087.03	267776.9976	100181157.2	156519039.1	198974450.8	222535293.9	247538823.4	218475964.6	220354049.1
