Branch_ID	Branch_Label	Input_Type	Model	Test_AUC	Test_AUPRC	Test_Threshold	Test_ACC	Test_MCC	Test_Recall	Test_Specificity	Test_Precision	Test_F1	Test_TP	Test_FP	Test_TN	Test_FN	Balanced_Score	CV_AUC	CV_MCC	Train_AUC	Train_ACC	Train_MCC	Step2_Dir
0.3	口腔真菌属	oral_fungi	adaboost	1	1	0.5	1	1	1	1	1	1	25	0	12	0	1	1	1	1	1	1	run_model_0.3_oral_fungi_step2
0.6	5组学单模型入选biomarkers联合	joint_selected_biomarkers	adaboost	1	1	0.5	1	1	1	1	1	1	25	0	12	0	1	1	1	1	1	1	run_model_0.6_joint_selected_biomarkers_step2
0.3	口腔真菌属	oral_fungi	glmnet	1	1	0.493961423343564	1	1	1	1	1	1	25	0	12	0	1	1	1	1	1	1	run_model_0.3_oral_fungi_step2
0.6	5组学单模型入选biomarkers联合	joint_selected_biomarkers	glmnet	1	1	0.500315692401957	1	1	1	1	1	1	25	0	12	0	1	1	1	1	1	1	run_model_0.6_joint_selected_biomarkers_step2
0.3	口腔真菌属	oral_fungi	kknn	1	1	0.648553861181245	1	1	1	1	1	1	25	0	12	0	1	1	1	1	1	1	run_model_0.3_oral_fungi_step2
0.6	5组学单模型入选biomarkers联合	joint_selected_biomarkers	kknn	1	1	0.668935231757618	1	1	1	1	1	1	25	0	12	0	1	1	0.976383420737639	1	1	1	run_model_0.6_joint_selected_biomarkers_step2
0.3	口腔真菌属	oral_fungi	naive_bayes	1	1	1.42370341172404e-10	1	1	1	1	1	1	25	0	12	0	1	1	0.441045611684618	1	1	1	run_model_0.3_oral_fungi_step2
0.6	5组学单模型入选biomarkers联合	joint_selected_biomarkers	naive_bayes	1	1	0.497963220458606	1	1	1	1	1	1	25	0	12	0	1	1	0.9233717655244	1	1	1	run_model_0.6_joint_selected_biomarkers_step2
0.3	口腔真菌属	oral_fungi	nnet	1	1	0.503385295024127	1	1	1	1	1	1	25	0	12	0	1	1	1	1	1	1	run_model_0.3_oral_fungi_step2
0.3	口腔真菌属	oral_fungi	rf	1	1	0.496836726393827	1	1	1	1	1	1	25	0	12	0	1	1	1	1	1	1	run_model_0.3_oral_fungi_step2
0.6	5组学单模型入选biomarkers联合	joint_selected_biomarkers	rf	1	1	0.495179063360882	1	1	1	1	1	1	25	0	12	0	1	1	1	1	1	1	run_model_0.6_joint_selected_biomarkers_step2
0.3	口腔真菌属	oral_fungi	rpart	1	1	0.5	1	1	1	1	1	1	25	0	12	0	1	1	1	1	1	1	run_model_0.3_oral_fungi_step2
