Branch_ID	Branch_Label	Branch_Dir	Model	Parameter	Value
0.1	非靶代谢	run_model_0.1_metabolome_step2	glmnet	alpha	0.449073164723814
0.1	非靶代谢	run_model_0.1_metabolome_step2	glmnet	lambda	0.000129196193943887
0.1	非靶代谢	run_model_0.1_metabolome_step2	glmnet	use_pred_offset	TRUE
0.1	非靶代谢	run_model_0.1_metabolome_step2	glmnet	standardize	TRUE
0.1	非靶代谢	run_model_0.1_metabolome_step2	glmnet	thresh	0.0000201918327272633
0.1	非靶代谢	run_model_0.1_metabolome_step2	glmnet	maxit	8554
0.1	非靶代谢	run_model_0.1_metabolome_step2	xgboost	eta	0.226612227752339
0.1	非靶代谢	run_model_0.1_metabolome_step2	xgboost	max_depth	3
0.1	非靶代谢	run_model_0.1_metabolome_step2	xgboost	nrounds	348
0.1	非靶代谢	run_model_0.1_metabolome_step2	xgboost	nthread	1
0.1	非靶代谢	run_model_0.1_metabolome_step2	xgboost	verbose	0
0.1	非靶代谢	run_model_0.1_metabolome_step2	xgboost	verbosity	0
0.1	非靶代谢	run_model_0.1_metabolome_step2	xgboost	min_child_weight	2.06884123827331
0.1	非靶代谢	run_model_0.1_metabolome_step2	xgboost	subsample	0.697580559528433
0.1	非靶代谢	run_model_0.1_metabolome_step2	xgboost	colsample_bytree	0.634718611836433
0.1	非靶代谢	run_model_0.1_metabolome_step2	rf	importance	impurity
0.1	非靶代谢	run_model_0.1_metabolome_step2	rf	num.threads	1
0.1	非靶代谢	run_model_0.1_metabolome_step2	rf	num.trees	666
0.1	非靶代谢	run_model_0.1_metabolome_step2	rf	mtry	16
0.1	非靶代谢	run_model_0.1_metabolome_step2	rf	max.depth	8
0.1	非靶代谢	run_model_0.1_metabolome_step2	rf	min.node.size	5
0.1	非靶代谢	run_model_0.1_metabolome_step2	svm	cost	4.19610061057368
0.1	非靶代谢	run_model_0.1_metabolome_step2	svm	kernel	radial
0.1	非靶代谢	run_model_0.1_metabolome_step2	svm	type	C-classification
0.1	非靶代谢	run_model_0.1_metabolome_step2	svm	gamma	0.00025135890443062
0.1	非靶代谢	run_model_0.1_metabolome_step2	naive_bayes	laplace	1.9533532531932
0.1	非靶代谢	run_model_0.1_metabolome_step2	kknn	k	10
0.1	非靶代谢	run_model_0.1_metabolome_step2	kknn	distance	1.32201422285289
0.1	非靶代谢	run_model_0.1_metabolome_step2	kknn	kernel	triangular
0.1	非靶代谢	run_model_0.1_metabolome_step2	rpart	xval	0
0.1	非靶代谢	run_model_0.1_metabolome_step2	rpart	cp	0.0856219379107647
0.1	非靶代谢	run_model_0.1_metabolome_step2	rpart	maxdepth	4
0.1	非靶代谢	run_model_0.1_metabolome_step2	rpart	minbucket	9
0.1	非靶代谢	run_model_0.1_metabolome_step2	adaboost	I	57
0.1	非靶代谢	run_model_0.1_metabolome_step2	nnet	MaxNWts	5000
0.1	非靶代谢	run_model_0.1_metabolome_step2	nnet	size	11
0.1	非靶代谢	run_model_0.1_metabolome_step2	nnet	decay	0.000268837353766861
0.1	非靶代谢	run_model_0.1_metabolome_step2	nnet	maxit	324
0.2	口腔细菌属	run_model_0.2_oral_bacteria_step2	glmnet	alpha	0.131949337432161
0.2	口腔细菌属	run_model_0.2_oral_bacteria_step2	glmnet	lambda	0.00852829397404183
0.2	口腔细菌属	run_model_0.2_oral_bacteria_step2	glmnet	use_pred_offset	TRUE
0.2	口腔细菌属	run_model_0.2_oral_bacteria_step2	glmnet	standardize	FALSE
0.2	口腔细菌属	run_model_0.2_oral_bacteria_step2	glmnet	thresh	0.0000203294856321508
0.2	口腔细菌属	run_model_0.2_oral_bacteria_step2	glmnet	maxit	6417
0.2	口腔细菌属	run_model_0.2_oral_bacteria_step2	xgboost	eta	0.186940703375731
0.2	口腔细菌属	run_model_0.2_oral_bacteria_step2	xgboost	max_depth	9
0.2	口腔细菌属	run_model_0.2_oral_bacteria_step2	xgboost	nrounds	350
0.2	口腔细菌属	run_model_0.2_oral_bacteria_step2	xgboost	nthread	1
0.2	口腔细菌属	run_model_0.2_oral_bacteria_step2	xgboost	verbose	0
0.2	口腔细菌属	run_model_0.2_oral_bacteria_step2	xgboost	verbosity	0
0.2	口腔细菌属	run_model_0.2_oral_bacteria_step2	xgboost	min_child_weight	1.1858125901781
0.2	口腔细菌属	run_model_0.2_oral_bacteria_step2	xgboost	subsample	0.937998944194987
