Model	Dataset	Status	Message
glmnet	train	completed	n=24, m=8
glmnet	test	completed	n=24, m=6
glmnet	valid	skipped	dataset unavailable
xgboost	train	completed	n=24, m=8
xgboost	test	completed	n=24, m=6
xgboost	valid	skipped	dataset unavailable
rf	train	completed	n=24, m=8
rf	test	completed	n=24, m=6
rf	valid	skipped	dataset unavailable
svm	train	completed	n=24, m=8
svm	test	completed	n=24, m=6
svm	valid	skipped	dataset unavailable
naive_bayes	train	completed	n=24, m=8
naive_bayes	test	completed	n=24, m=6
naive_bayes	valid	skipped	dataset unavailable
kknn	train	completed	n=24, m=8
kknn	test	completed	n=24, m=6
kknn	valid	skipped	dataset unavailable
rpart	train	completed	n=24, m=8
rpart	test	completed	n=24, m=6
rpart	valid	skipped	dataset unavailable
adaboost	train	completed	n=24, m=8
adaboost	test	completed	n=24, m=6
adaboost	valid	skipped	dataset unavailable
nnet	train	completed	n=24, m=8
nnet	test	completed	n=24, m=6
nnet	valid	skipped	dataset unavailable
