#SampleID	age
SH_0218	2
ST_165	2
ST_254	2
ST_503	2
ST_504	2
ZJ_1359	2
ZJ_1196	2.08
JS_0005	2.17
ZJ_1202	2.17
ZJ_1197	2.33
ZJ_1198	2.33
ZJ_1363	2.33
ZJ_1364	2.33
ZJ_1361	2.42
JS_0008	2.5
ZJ_1201	2.5
ZJ_1360	2.5
ZJ_1362	2.5
ZJ_1194	2.83
JS_0006	2.92
JS_0007	3
SH_0002	3
SH_0219	3
ST_491	3
ST_500	3
ST_507	3
ZJ_0181	3
ZJ_0196	3
ZJ_0198	3
ZJ_0200	3
ZJ_0689	3
ZJ_1357	3
ZJ_1365	3
ZJ_1366	3
ZJ_1367	3
ZJ_1368	3
ZJ_1369	3
ST_292	3.5
ST_307	3.5
SH_0003	4
SH_0220	4
SH_0221	4
ST_023	4
ST_261	4
ST_272	4
ST_420	4
ST_490	4
ST_492	4
ST_493	4
ST_494	4
ST_495	4
ST_496	4
ST_497	4
ST_498	4
ST_499	4
ST_501	4
ST_502	4
ST_505	4
ST_506	4
ST_508	4
ST_509	4
ST_510	4
ST_511	4
ST_512	4
ST_515	4
ST_518	4
ST_519	4
ST_520	4
ST_521	4
ST_524	4
ST_526	4
ST_528	4
ST_529	4
ST_530	4
ST_534	4
ST_537	4
ST_538	4
ZJ_0186	4
ZJ_0190	4
ZJ_0193	4
ZJ_0194	4
ZJ_0199	4
ZJ_0720	4
ZJ_1324	4
ZJ_1326	4
ZJ_1327	4
ZJ_1328	4
ZJ_1329	4
ZJ_1330	4
ZJ_1332	4
ZJ_1334	4
ZJ_1335	4
ZJ_1370	4
ZJ_1371	4
ZJ_1372	4
ZJ_1373	4
ZJ_1374	4
ST_273	4.5
SH_0004	5
SH_0005	5
SH_0222	5
ST_007	5
ST_011	5
ST_019	5
ST_039	5
ST_056	5
ST_164	5
ST_248	5
ST_311	5
ST_513	5
ST_514	5
ST_516	5
ST_517	5
ST_522	5
ST_523	5
ST_525	5
ST_527	5
ST_531	5
ST_532	5
ST_533	5
ST_535	5
ST_536	5
ZJ_0168	5
ZJ_0189	5
ZJ_0191	5
ZJ_1323	5
ZJ_1325	5
ZJ_1331	5
ZJ_1333	5
ZJ_1336	5
ZJ_1337	5
ZJ_1338	5
ZJ_1340	5
ZJ_1342	5
ZJ_1343	5
ZJ_1345	5
ZJ_1347	5
ZJ_1348	5
ZJ_1349	5
ZJ_1351	5
ZJ_1352	5
ZJ_1353	5
ZJ_1354	5
ZJ_1375	5
ZJ_1376	5
ZJ_1377	5
ZJ_1378	5
ZJ_1379	5
ST_265	5.5
ST_267	5.5
SH_0006	6
SH_0223	6
ST_012	6
ST_016	6
ST_017	6
ST_020	6
ST_024	6
ST_032	6
ST_037	6
ST_038	6
ST_042	6
ST_046	6
ST_049	6
ST_052	6
ST_246	6
ST_623	6
ST_624	6
ST_632	6
ST_633	6
ST_634	6
ST_635	6
ST_638	6
ST_641	6
ST_642	6
ST_643	6
ST_656	6
ST_658	6
ZJ_0182	6
ZJ_0183	6
ZJ_0197	6
ZJ_0512	6
ZJ_0711	6
ZJ_1305	6
ZJ_1306	6
ZJ_1308	6
ZJ_1309	6
ZJ_1312	6
ZJ_1313	6
ZJ_1314	6
ZJ_1315	6
ZJ_1316	6
ZJ_1317	6
ZJ_1319	6
ZJ_1320	6
ZJ_1322	6
ZJ_1339	6
ZJ_1341	6
ZJ_1344	6
ZJ_1346	6
ZJ_1350	6
ZJ_1380	6
ZJ_1381	6
ZJ_1382	6
ZJ_1383	6
ZJ_1384	6
ZJ_1385	6
ZJ_1386	6
ZJ_1387	6
ST_245	6.5
ST_003	7
ST_004	7
ST_005	7
ST_006	7
ST_018	7
ST_028	7
ST_033	7
ST_040	7
ST_041	7
ST_047	7
ST_048	7
ST_051	7
ST_145	7
ST_147	7
ST_149	7
ST_189	7
ST_192	7
ST_196	7
ST_199	7
ST_223	7
ST_225	7
ST_226	7
ST_227	7
ST_228	7
ST_229	7
ST_251	7
ST_280	7
ST_282	7
ST_288	7
ST_298	7
ST_622	7
ST_631	7
ST_640	7
ST_644	7
ST_657	7
ST_659	7
ST_674	7
ZJ_0699	7
