old_name,new_name
feature24_肺炎支原体,feature24_1
feature24_腺病毒,feature24_2
feature24_流感嗜血杆菌,feature24_3
feature24_偏肺病毒,feature24_4
feature24_副流感病毒,feature24_5
feature24_合胞病毒,feature24_6
feature24_肺炎链球菌,feature24_7
feature24_鼻病毒,feature24_8
feature24_呼吸道合胞病毒,feature24_9
feature24_NA,feature24_10
feature24_冠状病毒,feature24_11
feature24_病毒性感染,feature24_12
feature24_Eb病毒,feature24_13
feature24_鲍曼不动杆菌,feature24_14
feature24_铜绿假单胞菌,feature24_15
feature24_白念珠菌,feature24_16
feature24_博卡病毒,feature24_17
feature24_马葡萄球菌,feature24_18
feature24_EB病毒,feature24_19
feature24_甲型流感病毒,feature24_20
feature24_衣原体,feature24_21
feature24_肠道病毒,feature24_22
feature24_化脓性链球菌,feature24_23
feature24_白色念珠菌,feature24_24
feature24_博卡病毒1型,feature24_25
