package	load_name	source_type	source	version	install_ref	profile
abind	abind	existing_library	R_package_mobio;chaoliu_R_package_mobio;lvyan_R_package_mobio	1.4-8		library
ade4	ade4	existing_library	R_package_mobio;chaoliu_R_package_mobio;lvyan_R_package_mobio	1.7-23;1.7-24		library
afex	afex	cran;existing_library	R_package_mobio;chaoliu_R_package_mobio;manual_manifest	1.5-1		core;library
affy	affy	existing_library	R_package_mobio;chaoliu_R_package_mobio	1.88.0		library
affyio	affyio	existing_library	R_package_mobio;chaoliu_R_package_mobio	1.80.0		library
ALDEx2	ALDEx2	bioconductor;existing_library	R_package_mobio;chaoliu_R_package_mobio;manual_manifest	1.42.0		full;library
ANCOMBC	ANCOMBC	bioconductor;existing_library	R_package_mobio;chaoliu_R_package_mobio;lvyan_R_package_mobio;manual_manifest	2.10.1;2.12.0		core;library
annotate	annotate	existing_library	R_package_mobio;chaoliu_R_package_mobio	1.88.0		library
AnnotationDbi	AnnotationDbi	existing_library	R_package_mobio;chaoliu_R_package_mobio	1.72.0		library
AnnotationFilter	AnnotationFilter	existing_library	R_package_mobio;chaoliu_R_package_mobio	1.34.0		library
ape	ape	existing_library	R_package_mobio;chaoliu_R_package_mobio;lvyan_R_package_mobio	5.8-1		library
aplot	aplot	existing_library;github	R_package_mobio;chaoliu_R_package_mobio;manual_manifest	0.2.9	YuLab-SMU/aplot	full;library
argparse	argparse	cran;existing_library	R_package_mobio;chaoliu_R_package_mobio;manual_manifest	2.3.1		full;library
askpass	askpass	existing_library	R_package_mobio;chaoliu_R_package_mobio;lvyan_R_package_mobio	1.2.1		library
assertthat	assertthat	existing_library	R_package_mobio;chaoliu_R_package_mobio	0.2.1		library
assorthead	assorthead	existing_library	R_package_mobio;chaoliu_R_package_mobio;lvyan_R_package_mobio	1.4.0		library
backports	backports	existing_library	R_package_mobio;chaoliu_R_package_mobio;lvyan_R_package_mobio	1.5.0		library
base	base	existing_library	lvyan_R_package_mobio	4.5.1		library
base64enc	base64enc	existing_library	R_package_mobio;chaoliu_R_package_mobio;lvyan_R_package_mobio	0.1-6		library
base64url	base64url	existing_library	R_package_mobio	1.4		library
BayesFactor	BayesFactor	existing_library	R_package_mobio;chaoliu_R_package_mobio	0.9.12-4.7		library
bayesm	bayesm	existing_library	lvyan_R_package_mobio	3.1-7		library
bayestestR	bayestestR	existing_library	R_package_mobio;chaoliu_R_package_mobio	0.17.0		library
bbotk	bbotk	cran;existing_library	R_package_mobio;chaoliu_R_package_mobio;manual_manifest	1.10.0;1.8.1		full;library
beachmat	beachmat	existing_library	R_package_mobio;chaoliu_R_package_mobio;lvyan_R_package_mobio	2.26.0		library
beeswarm	beeswarm	existing_library	R_package_mobio;chaoliu_R_package_mobio;lvyan_R_package_mobio	0.4.0		library
benchmarkme	benchmarkme	existing_library	R_package_mobio;chaoliu_R_package_mobio	1.0.8		library
benchmarkmeData	benchmarkmeData	existing_library	R_package_mobio;chaoliu_R_package_mobio	2.0.0		library
BH	BH	existing_library	R_package_mobio;chaoliu_R_package_mobio;lvyan_R_package_mobio	1.90.0-1		library
