package	load_name	status	version	library_dir	source_type	profile	message
afex	afex	OK	1.5.1	/usr/local/lib/R/site-library	cran;existing_library	core;library	
ANCOMBC	ANCOMBC	OK	2.14.0	/usr/local/lib/R/site-library	bioconductor;existing_library	core;library	
BiocManager	BiocManager	OK	1.30.27	/usr/local/lib/R/site-library	cran;existing_library	core;library	
bluster	bluster	OK	1.22.0	/usr/local/lib/R/site-library	bioconductor;existing_library	core;library	
broom	broom	OK	1.0.13	/usr/local/lib/R/site-library	cran;existing_library	core;library	
cowplot	cowplot	OK	1.2.0	/usr/local/lib/R/site-library	cran;existing_library	core;library	
crosstalk	crosstalk	OK	1.2.2	/usr/local/lib/R/site-library	cran;existing_library	core;library	
DESeq2	DESeq2	OK	1.52.0	/usr/local/lib/R/site-library	bioconductor;existing_library	core;library	
dplyr	dplyr	OK	1.2.1	/usr/local/lib/R/site-library	cran;existing_library	core;library	
e1071	e1071	OK	1.7.17	/usr/local/lib/R/site-library	cran;existing_library	core;library	
fastshap	fastshap	OK	0.1.1	/usr/local/lib/R/site-library	cran;existing_library	core;library	
forcats	forcats	OK	1.0.1	/usr/local/lib/R/site-library	cran;existing_library	core;library	
future	future	OK	1.70.0	/usr/local/lib/R/site-library	cran;existing_library	core;library	
ggplot2	ggplot2	OK	4.0.3	/usr/local/lib/R/site-library	cran;existing_library	core;library	
ggpubr	ggpubr	OK	0.6.3	/usr/local/lib/R/site-library	cran;existing_library	core;library	
ggraph	ggraph	OK	2.2.2	/usr/local/lib/R/site-library	cran;existing_library	core;library	
ggside	ggside	OK	0.4.1	/usr/local/lib/R/site-library	cran;existing_library	core;library	
glmnet	glmnet	OK	5.0	/usr/local/lib/R/site-library	cran;existing_library	core;library	
kernelshap	kernelshap	OK	0.9.1	/usr/local/lib/R/site-library	cran;existing_library	core;library	
kknn	kknn	OK	1.4.1	/usr/local/lib/R/site-library	cran;existing_library	core;library	
kSamples	kSamples	OK	1.2.12	/usr/local/lib/R/site-library	cran;existing_library	core;library	
lgr	lgr	OK	0.5.2	/usr/local/lib/R/site-library	cran;existing_library	core;library	
lightgbm	lightgbm	OK	4.6.0	/usr/local/lib/R/site-library	cran;existing_library	core;library	
maaslin3	maaslin3	OK	1.4.0	/usr/local/lib/R/site-library	bioconductor;existing_library	core;library	
MASS	MASS	OK	7.3.65	/usr/lib/R/library	existing_library	core;library	
Matrix	Matrix	OK	1.7.4	/usr/lib/R/library	cran;existing_library	core;library	
mia	mia	OK	1.20.0	/usr/local/lib/R/site-library	bioconductor;existing_library	core;library	
mlr3cmprsk	mlr3cmprsk	OK	0.0.5	/usr/local/lib/R/site-library	github	core	
mlr3extralearners	mlr3extralearners	OK	1.5.2	/usr/local/lib/R/site-library	existing_library;github	core;library	
mlr3fselect	mlr3fselect	OK	1.6.0	/usr/local/lib/R/site-library	cran;existing_library	core;library	
mlr3learners	mlr3learners	OK	0.14.0	/usr/local/lib/R/site-library	cran;existing_library	core;library	
mlr3proba	mlr3proba	OK	0.8.10	/usr/local/lib/R/site-library	github	core	
mlr3tuning	mlr3tuning	OK	1.6.0	/usr/local/lib/R/site-library	cran;existing_library	core;library	
mlr3verse	mlr3verse	OK	0.3.1	/usr/local/lib/R/site-library	cran;existing_library	core;library	
MMUPHin	MMUPHin	OK	2.0.0	/usr/local/lib/R/site-library	bioconductor;existing_library	core;library	
openxlsx	openxlsx	OK	4.2.8.1	/usr/local/lib/R/site-library	cran;existing_library	core;library	
optparse	optparse	OK	1.8.2	/usr/local/lib/R/site-library	cran;existing_library	core;library	
pacman	pacman	OK	0.5.1	/usr/local/lib/R/site-library	cran;existing_library	core;library	
paradox	paradox	OK	1.0.1	/usr/local/lib/R/site-library	cran;existing_library	core;library	
patchwork	patchwork	OK	1.3.2	/usr/local/lib/R/site-library	cran;existing_library	core;library	
pheatmap	pheatmap	OK	1.0.13	/usr/local/lib/R/site-library	cran;existing_library	core;library	
phyloseq	phyloseq	OK	1.56.0	/usr/local/lib/R/site-library	bioconductor;existing_library	core;library	
pROC	pROC	OK	1.19.0.1	/usr/local/lib/R/site-library	cran;existing_library	core;library	
progressr	progressr	OK	0.19.0	/usr/local/lib/R/site-library	cran;existing_library	core;library	
ragg	ragg	OK	1.5.2	/usr/local/lib/R/site-library	cran;existing_library	core;library	
ranger	ranger	OK	0.18.0	/usr/local/lib/R/site-library	cran;existing_library	core;library	
RColorBrewer	RColorBrewer	OK	1.1.3	/usr/local/lib/R/site-library	cran;existing_library	core;library	
readr	readr	OK	2.2.0	/usr/local/lib/R/site-library	cran;existing_library	core;library	
readxl	readxl	OK	1.5.0	/usr/local/lib/R/site-library	cran;existing_library	core;library	
remotes	remotes	OK	2.5.0	/usr/local/lib/R/site-library	cran;existing_library	core;library	
reshape2	reshape2	OK	1.4.5	/usr/local/lib/R/site-library	cran;existing_library	core;library	
robustbase	robustbase	OK	0.99.7	/usr/local/lib/R/site-library	cran;existing_library	core;library	
ROCR	ROCR	OK	1.0.12	/usr/local/lib/R/site-library	cran;existing_library	core;library	
rprojroot	rprojroot	OK	2.1.1	/usr/local/lib/R/site-library	cran;existing_library	core;library	
shapviz	shapviz	OK	0.10.3	/usr/local/lib/R/site-library	cran;existing_library	core;library	
showtext	showtext	OK	0.9.8	/usr/local/lib/R/site-library	cran;existing_library	core;library	
SingleCellExperiment	SingleCellExperiment	OK	1.34.0	/usr/local/lib/R/site-library	bioconductor;existing_library	core;library	
stringr	stringr	OK	1.6.0	/usr/local/lib/R/site-library	cran;existing_library	core;library	
sysfonts	sysfonts	OK	0.8.9	/usr/local/lib/R/site-library	cran;existing_library	core;library	
textshaping	textshaping	OK	1.0.5	/usr/local/lib/R/site-library	cran;existing_library	core;library	
tibble	tibble	OK	3.3.1	/usr/local/lib/R/site-library	cran;existing_library	core;library	
tidyr	tidyr	OK	1.3.2	/usr/local/lib/R/site-library	cran;existing_library	core;library	
writexl	writexl	OK	1.5.4	/usr/local/lib/R/site-library	cran;existing_library	core;library	
xfun	xfun	OK	0.58	/usr/local/lib/R/site-library	cran;existing_library	core;library	
xgboost	xgboost	OK	3.2.1.1	/usr/local/lib/R/site-library	cran;existing_library	core;library	
XML	XML	OK	3.99.0.23	/usr/local/lib/R/site-library	cran;existing_library	core;library	
