package	load_name	status	version	library_dir	source_type	profile	message
abind	abind	OK	1.4.8	/usr/local/lib/R/site-library	existing_library	library	
ade4	ade4	OK	1.7.24	/usr/local/lib/R/site-library	existing_library	library	
afex	afex	OK	1.5.1	/usr/local/lib/R/site-library	cran;existing_library	core;library	
affy	affy	OK	1.90.0	/opt/mobior-full/site-library	existing_library	library	
affyio	affyio	OK	1.82.0	/opt/mobior-full/site-library	existing_library	library	
ALDEx2	ALDEx2	OK	1.44.0	/opt/mobior-full/site-library	bioconductor;existing_library	full;library	
ANCOMBC	ANCOMBC	OK	2.14.0	/usr/local/lib/R/site-library	bioconductor;existing_library	core;library	
annotate	annotate	OK	1.90.0	/opt/mobior-full/site-library	existing_library	library	
AnnotationDbi	AnnotationDbi	OK	1.74.0	/opt/mobior-full/site-library	existing_library	library	
AnnotationFilter	AnnotationFilter	OK	1.36.0	/opt/mobior-full/site-library	existing_library	library	
ape	ape	OK	5.8.1	/usr/local/lib/R/site-library	existing_library	library	
aplot	aplot	OK	0.2.9	/opt/mobior-full/site-library	existing_library;github	full;library	
argparse	argparse	OK	2.3.1	/opt/mobior-full/site-library	cran;existing_library	full;library	
askpass	askpass	OK	1.2.1	/usr/local/lib/R/site-library	existing_library	library	
assertthat	assertthat	OK	0.2.1	/opt/mobior-full/site-library	existing_library	library	
assorthead	assorthead	OK	1.6.3	/usr/local/lib/R/site-library	existing_library	library	
backports	backports	OK	1.5.1	/usr/local/lib/R/site-library	existing_library	library	
base	base	OK	4.6.0	/usr/lib/R/library	existing_library	library	
base64enc	base64enc	OK	0.1.6	/usr/local/lib/R/site-library	existing_library	library	
base64url	base64url	OK	1.4	/opt/mobior-full/site-library	existing_library	library	
BayesFactor	BayesFactor	OK	0.9.12.4.8	/opt/mobior-full/site-library	existing_library	library	
bayesm	bayesm	OK	3.1.7	/opt/mobior-full/site-library	existing_library	library	
bayestestR	bayestestR	OK	0.18.1	/opt/mobior-full/site-library	existing_library	library	
bbotk	bbotk	OK	1.10.0	/usr/local/lib/R/site-library	cran;existing_library	full;library	
beachmat	beachmat	OK	2.28.0	/usr/local/lib/R/site-library	existing_library	library	
