Branch_ID	Branch_Label	Model	SHAP_File
0.1	step2	adaboost	run_model_0.1_step2/step3_shap_all_models_v006_msi12_name_20260609/adaboost/adaboost_SHAP.xlsx
0.1	step2	glmnet	run_model_0.1_step2/step3_shap_all_models_v006_msi12_name_20260609/glmnet/glmnet_SHAP.xlsx
0.1	step2	kknn	run_model_0.1_step2/step3_shap_all_models_v006_msi12_name_20260609/kknn/kknn_SHAP.xlsx
0.1	step2	naive_bayes	run_model_0.1_step2/step3_shap_all_models_v006_msi12_name_20260609/naive_bayes/naive_bayes_SHAP.xlsx
0.1	step2	nnet	run_model_0.1_step2/step3_shap_all_models_v006_msi12_name_20260609/nnet/nnet_SHAP.xlsx
0.1	step2	rf	run_model_0.1_step2/step3_shap_all_models_v006_msi12_name_20260609/rf/rf_SHAP.xlsx
0.1	step2	rpart	run_model_0.1_step2/step3_shap_all_models_v006_msi12_name_20260609/rpart/rpart_SHAP.xlsx
0.1	step2	svm	run_model_0.1_step2/step3_shap_all_models_v006_msi12_name_20260609/svm/svm_SHAP.xlsx
0.1	step2	xgboost	run_model_0.1_step2/step3_shap_all_models_v006_msi12_name_20260609/xgboost/xgboost_SHAP.xlsx
0.2	step2	adaboost	run_model_0.2_step2/step3_shap_all_models_v006_msi12_name_20260609/adaboost/adaboost_SHAP.xlsx
0.2	step2	glmnet	run_model_0.2_step2/step3_shap_all_models_v006_msi12_name_20260609/glmnet/glmnet_SHAP.xlsx
0.2	step2	kknn	run_model_0.2_step2/step3_shap_all_models_v006_msi12_name_20260609/kknn/kknn_SHAP.xlsx
0.2	step2	naive_bayes	run_model_0.2_step2/step3_shap_all_models_v006_msi12_name_20260609/naive_bayes/naive_bayes_SHAP.xlsx
0.2	step2	nnet	run_model_0.2_step2/step3_shap_all_models_v006_msi12_name_20260609/nnet/nnet_SHAP.xlsx
0.2	step2	rf	run_model_0.2_step2/step3_shap_all_models_v006_msi12_name_20260609/rf/rf_SHAP.xlsx
0.2	step2	rpart	run_model_0.2_step2/step3_shap_all_models_v006_msi12_name_20260609/rpart/rpart_SHAP.xlsx
0.2	step2	svm	run_model_0.2_step2/step3_shap_all_models_v006_msi12_name_20260609/svm/svm_SHAP.xlsx
0.2	step2	xgboost	run_model_0.2_step2/step3_shap_all_models_v006_msi12_name_20260609/xgboost/xgboost_SHAP.xlsx
0.3	step2	adaboost	run_model_0.3_step2/step3_shap_all_models_v006_msi12_name_20260609/adaboost/adaboost_SHAP.xlsx
0.3	step2	glmnet	run_model_0.3_step2/step3_shap_all_models_v006_msi12_name_20260609/glmnet/glmnet_SHAP.xlsx
0.3	step2	kknn	run_model_0.3_step2/step3_shap_all_models_v006_msi12_name_20260609/kknn/kknn_SHAP.xlsx
0.3	step2	naive_bayes	run_model_0.3_step2/step3_shap_all_models_v006_msi12_name_20260609/naive_bayes/naive_bayes_SHAP.xlsx
0.3	step2	nnet	run_model_0.3_step2/step3_shap_all_models_v006_msi12_name_20260609/nnet/nnet_SHAP.xlsx
0.3	step2	rf	run_model_0.3_step2/step3_shap_all_models_v006_msi12_name_20260609/rf/rf_SHAP.xlsx
0.3	step2	rpart	run_model_0.3_step2/step3_shap_all_models_v006_msi12_name_20260609/rpart/rpart_SHAP.xlsx
0.3	step2	svm	run_model_0.3_step2/step3_shap_all_models_v006_msi12_name_20260609/svm/svm_SHAP.xlsx
0.3	step2	xgboost	run_model_0.3_step2/step3_shap_all_models_v006_msi12_name_20260609/xgboost/xgboost_SHAP.xlsx
1.0	step2	glmnet	run_model_1.0_step2/step3_shap_all_models_v006_msi12_name_20260609/glmnet/glmnet_SHAP.xlsx
1.0	step2	kknn	run_model_1.0_step2/step3_shap_all_models_v006_msi12_name_20260609/kknn/kknn_SHAP.xlsx
1.0	step2	naive_bayes	run_model_1.0_step2/step3_shap_all_models_v006_msi12_name_20260609/naive_bayes/naive_bayes_SHAP.xlsx
1.0	step2	nnet	run_model_1.0_step2/step3_shap_all_models_v006_msi12_name_20260609/nnet/nnet_SHAP.xlsx
1.0	step2	rf	run_model_1.0_step2/step3_shap_all_models_v006_msi12_name_20260609/rf/rf_SHAP.xlsx
1.0	step2	rpart	run_model_1.0_step2/step3_shap_all_models_v006_msi12_name_20260609/rpart/rpart_SHAP.xlsx
1.0	step2	svm	run_model_1.0_step2/step3_shap_all_models_v006_msi12_name_20260609/svm/svm_SHAP.xlsx
1.1	step2	adaboost	run_model_1.1_step2/step3_shap_all_models_v006_msi12_name_20260609/adaboost/adaboost_SHAP.xlsx
1.1	step2	glmnet	run_model_1.1_step2/step3_shap_all_models_v006_msi12_name_20260609/glmnet/glmnet_SHAP.xlsx
1.1	step2	kknn	run_model_1.1_step2/step3_shap_all_models_v006_msi12_name_20260609/kknn/kknn_SHAP.xlsx
1.1	step2	naive_bayes	run_model_1.1_step2/step3_shap_all_models_v006_msi12_name_20260609/naive_bayes/naive_bayes_SHAP.xlsx
1.1	step2	nnet	run_model_1.1_step2/step3_shap_all_models_v006_msi12_name_20260609/nnet/nnet_SHAP.xlsx
1.1	step2	rf	run_model_1.1_step2/step3_shap_all_models_v006_msi12_name_20260609/rf/rf_SHAP.xlsx
