Branch	Model	Feature	Description	Importance_Available
run_model_0.1	glmnet	Genus_Escherichia_Shigella	Genus_Escherichia_Shigella	TRUE
run_model_0.1	glmnet	Genus_Lachnospira	Genus_Lachnospira	TRUE
run_model_0.1	glmnet	Genus_Lachnospiraceae_FCS020_group	Genus_Lachnospiraceae_FCS020_group	TRUE
run_model_0.1	glmnet	Genus_Lachnospiraceae_ND3007_group	Genus_Lachnospiraceae_ND3007_group	TRUE
run_model_0.1	glmnet	Genus_Lachnospiraceae_UCG_004	Genus_Lachnospiraceae_UCG_004	TRUE
run_model_0.1	glmnet	Genus_Oscillibacter	Genus_Oscillibacter	TRUE
run_model_0.1	glmnet	Genus_Sutterellaceae_unclassified	Genus_Sutterellaceae_unclassified	TRUE
run_model_0.1	glmnet	Genus_Blautia	Genus_Blautia	TRUE
run_model_0.1	glmnet	Genus_Butyribacter	Genus_Butyribacter	TRUE
run_model_0.1	glmnet	Genus_Collinsella	Genus_Collinsella	TRUE
run_model_0.1	glmnet	Genus_Enterobacter	Genus_Enterobacter	TRUE
run_model_0.1	glmnet	Genus_Lachnospiraceae_GCA_900066575	Genus_Lachnospiraceae_GCA_900066575	TRUE
run_model_0.1	glmnet	Genus_Lachnospiraceae_unclassified	Genus_Lachnospiraceae_unclassified	TRUE
run_model_0.1	glmnet	Genus_Neisseria	Genus_Neisseria	TRUE
run_model_0.1	glmnet	Genus_Saccharimonadaceae_Incertae_Sedis	Genus_Saccharimonadaceae_Incertae_Sedis	TRUE
run_model_0.1	glmnet	Genus_Sutterella	Genus_Sutterella	TRUE
run_model_0.1	glmnet	Genus_Agathobaculum	Genus_Agathobaculum	FALSE
run_model_0.1	glmnet	Genus_Bifidobacterium	Genus_Bifidobacterium	TRUE
run_model_0.1	glmnet	Genus_Desulfovibrio	Genus_Desulfovibrio	TRUE
run_model_0.1	glmnet	Genus_Enterobacteriaceae_unclassified	Genus_Enterobacteriaceae_unclassified	TRUE
run_model_0.1	glmnet	Genus_Eubacterium_coprostanoligenes_group_Incertae_Sedis	Genus_Eubacterium_coprostanoligenes_group_Incertae_Sedis	TRUE
run_model_0.1	glmnet	Genus_Eubacterium_ventriosum_group	Genus_Eubacterium_ventriosum_group	TRUE
run_model_0.1	glmnet	Genus_Faecalibacterium	Genus_Faecalibacterium	TRUE
run_model_0.1	glmnet	Genus_Faecalimonas	Genus_Faecalimonas	TRUE
run_model_0.1	glmnet	Genus_Fusicatenibacter	Genus_Fusicatenibacter	TRUE
run_model_0.1	glmnet	Genus_Gemella	Genus_Gemella	TRUE
run_model_0.1	glmnet	Genus_Ligilactobacillus	Genus_Ligilactobacillus	TRUE
run_model_0.1	glmnet	Genus_Massilia	Genus_Massilia	TRUE
run_model_0.1	glmnet	Genus_Parabacteroides	Genus_Parabacteroides	TRUE
run_model_0.1	glmnet	Genus_Ruminococcaceae_unclassified	Genus_Ruminococcaceae_unclassified	TRUE
run_model_0.1	xgboost	Genus_Escherichia_Shigella	Genus_Escherichia_Shigella	TRUE
run_model_0.1	xgboost	Genus_Lachnospira	Genus_Lachnospira	TRUE
run_model_0.1	xgboost	Genus_Lachnospiraceae_FCS020_group	Genus_Lachnospiraceae_FCS020_group	TRUE
run_model_0.1	xgboost	Genus_Lachnospiraceae_ND3007_group	Genus_Lachnospiraceae_ND3007_group	TRUE
run_model_0.1	xgboost	Genus_Lachnospiraceae_UCG_004	Genus_Lachnospiraceae_UCG_004	TRUE
run_model_0.1	xgboost	Genus_Oscillibacter	Genus_Oscillibacter	TRUE
run_model_0.1	xgboost	Genus_Sutterellaceae_unclassified	Genus_Sutterellaceae_unclassified	TRUE
run_model_0.1	xgboost	Genus_Blautia	Genus_Blautia	TRUE
run_model_0.1	xgboost	Genus_Butyribacter	Genus_Butyribacter	TRUE
run_model_0.1	xgboost	Genus_Collinsella	Genus_Collinsella	TRUE
run_model_0.1	xgboost	Genus_Enterobacter	Genus_Enterobacter	TRUE
run_model_0.1	xgboost	Genus_Lachnospiraceae_GCA_900066575	Genus_Lachnospiraceae_GCA_900066575	TRUE
run_model_0.1	xgboost	Genus_Lachnospiraceae_unclassified	Genus_Lachnospiraceae_unclassified	TRUE
run_model_0.1	xgboost	Genus_Neisseria	Genus_Neisseria	TRUE
run_model_0.1	xgboost	Genus_Saccharimonadaceae_Incertae_Sedis	Genus_Saccharimonadaceae_Incertae_Sedis	TRUE
run_model_0.1	xgboost	Genus_Sutterella	Genus_Sutterella	TRUE
run_model_0.1	xgboost	Genus_Agathobaculum	Genus_Agathobaculum	TRUE
run_model_0.1	xgboost	Genus_Bifidobacterium	Genus_Bifidobacterium	TRUE
run_model_0.1	xgboost	Genus_Desulfovibrio	Genus_Desulfovibrio	TRUE
run_model_0.1	xgboost	Genus_Enterobacteriaceae_unclassified	Genus_Enterobacteriaceae_unclassified	TRUE
run_model_0.1	xgboost	Genus_Eubacterium_coprostanoligenes_group_Incertae_Sedis	Genus_Eubacterium_coprostanoligenes_group_Incertae_Sedis	TRUE
run_model_0.1	xgboost	Genus_Eubacterium_ventriosum_group	Genus_Eubacterium_ventriosum_group	TRUE
run_model_0.1	xgboost	Genus_Faecalibacterium	Genus_Faecalibacterium	TRUE
run_model_0.1	xgboost	Genus_Faecalimonas	Genus_Faecalimonas	TRUE
run_model_0.1	xgboost	Genus_Fusicatenibacter	Genus_Fusicatenibacter	TRUE
run_model_0.1	xgboost	Genus_Gemella	Genus_Gemella	TRUE
run_model_0.1	xgboost	Genus_Ligilactobacillus	Genus_Ligilactobacillus	TRUE
run_model_0.1	xgboost	Genus_Massilia	Genus_Massilia	FALSE
run_model_0.1	xgboost	Genus_Parabacteroides	Genus_Parabacteroides	TRUE
run_model_0.1	xgboost	Genus_Ruminococcaceae_unclassified	Genus_Ruminococcaceae_unclassified	TRUE
run_model_0.1	rf	Genus_Escherichia_Shigella	Genus_Escherichia_Shigella	TRUE
run_model_0.1	rf	Genus_Lachnospira	Genus_Lachnospira	TRUE
run_model_0.1	rf	Genus_Lachnospiraceae_FCS020_group	Genus_Lachnospiraceae_FCS020_group	TRUE
run_model_0.1	rf	Genus_Lachnospiraceae_ND3007_group	Genus_Lachnospiraceae_ND3007_group	TRUE
run_model_0.1	rf	Genus_Lachnospiraceae_UCG_004	Genus_Lachnospiraceae_UCG_004	TRUE
run_model_0.1	rf	Genus_Oscillibacter	Genus_Oscillibacter	TRUE
run_model_0.1	rf	Genus_Sutterellaceae_unclassified	Genus_Sutterellaceae_unclassified	TRUE
run_model_0.1	rf	Genus_Blautia	Genus_Blautia	TRUE
run_model_0.1	rf	Genus_Butyribacter	Genus_Butyribacter	TRUE
run_model_0.1	rf	Genus_Collinsella	Genus_Collinsella	TRUE
run_model_0.1	rf	Genus_Enterobacter	Genus_Enterobacter	TRUE
run_model_0.1	rf	Genus_Lachnospiraceae_GCA_900066575	Genus_Lachnospiraceae_GCA_900066575	TRUE
run_model_0.1	rf	Genus_Lachnospiraceae_unclassified	Genus_Lachnospiraceae_unclassified	TRUE
run_model_0.1	rf	Genus_Neisseria	Genus_Neisseria	TRUE
run_model_0.1	rf	Genus_Saccharimonadaceae_Incertae_Sedis	Genus_Saccharimonadaceae_Incertae_Sedis	TRUE
run_model_0.1	rf	Genus_Sutterella	Genus_Sutterella	TRUE
