Branch	Model	Train_AUC	Test_AUC	Test_AUC_Reversed	Test_AUC_Direction_Flag	Selected_Biomarker_Count	Selected_Biomarkers
run_model_0.1	glmnet	0.978574810606061	0.976041666666667	0.0239583333333333	OK	30	Genus_Escherichia_Shigella; Genus_Lachnospira; Genus_Lachnospiraceae_FCS020_group; Genus_Lachnospiraceae_ND3007_group; Genus_Lachnospiraceae_UCG_004; Genus_Oscillibacter; Genus_Sutterellaceae_unclassified; Genus_Blautia; Genus_Butyribacter; Genus_Collinsella; Genus_Enterobacter; Genus_Lachnospiraceae_GCA_900066575; Genus_Lachnospiraceae_unclassified; Genus_Neisseria; Genus_Saccharimonadaceae_Incertae_Sedis; Genus_Sutterella; Genus_Agathobaculum; Genus_Bifidobacterium; Genus_Desulfovibrio; Genus_Enterobacteriaceae_unclassified; Genus_Eubacterium_coprostanoligenes_group_Incertae_Sedis; Genus_Eubacterium_ventriosum_group; Genus_Faecalibacterium; Genus_Faecalimonas; Genus_Fusicatenibacter; Genus_Gemella; Genus_Ligilactobacillus; Genus_Massilia; Genus_Parabacteroides; Genus_Ruminococcaceae_unclassified
run_model_0.1	xgboost	1	0.954166666666667	0.0458333333333333	OK	30	Genus_Escherichia_Shigella; Genus_Lachnospira; Genus_Lachnospiraceae_FCS020_group; Genus_Lachnospiraceae_ND3007_group; Genus_Lachnospiraceae_UCG_004; Genus_Oscillibacter; Genus_Sutterellaceae_unclassified; Genus_Blautia; Genus_Butyribacter; Genus_Collinsella; Genus_Enterobacter; Genus_Lachnospiraceae_GCA_900066575; Genus_Lachnospiraceae_unclassified; Genus_Neisseria; Genus_Saccharimonadaceae_Incertae_Sedis; Genus_Sutterella; Genus_Agathobaculum; Genus_Bifidobacterium; Genus_Desulfovibrio; Genus_Enterobacteriaceae_unclassified; Genus_Eubacterium_coprostanoligenes_group_Incertae_Sedis; Genus_Eubacterium_ventriosum_group; Genus_Faecalibacterium; Genus_Faecalimonas; Genus_Fusicatenibacter; Genus_Gemella; Genus_Ligilactobacillus; Genus_Massilia; Genus_Parabacteroides; Genus_Ruminococcaceae_unclassified
run_model_0.1	rf	1	0.952083333333333	0.0479166666666666	OK	30	Genus_Escherichia_Shigella; Genus_Lachnospira; Genus_Lachnospiraceae_FCS020_group; Genus_Lachnospiraceae_ND3007_group; Genus_Lachnospiraceae_UCG_004; Genus_Oscillibacter; Genus_Sutterellaceae_unclassified; Genus_Blautia; Genus_Butyribacter; Genus_Collinsella; Genus_Enterobacter; Genus_Lachnospiraceae_GCA_900066575; Genus_Lachnospiraceae_unclassified; Genus_Neisseria; Genus_Saccharimonadaceae_Incertae_Sedis; Genus_Sutterella; Genus_Agathobaculum; Genus_Bifidobacterium; Genus_Desulfovibrio; Genus_Enterobacteriaceae_unclassified; Genus_Eubacterium_coprostanoligenes_group_Incertae_Sedis; Genus_Eubacterium_ventriosum_group; Genus_Faecalibacterium; Genus_Faecalimonas; Genus_Fusicatenibacter; Genus_Gemella; Genus_Ligilactobacillus; Genus_Massilia; Genus_Parabacteroides; Genus_Ruminococcaceae_unclassified
run_model_0.1	svm	0.966264204545455	0.95625	0.04375	OK	30	Genus_Escherichia_Shigella; Genus_Lachnospira; Genus_Lachnospiraceae_FCS020_group; Genus_Lachnospiraceae_ND3007_group; Genus_Lachnospiraceae_UCG_004; Genus_Oscillibacter; Genus_Sutterellaceae_unclassified; Genus_Blautia; Genus_Butyribacter; Genus_Collinsella; Genus_Enterobacter; Genus_Lachnospiraceae_GCA_900066575; Genus_Lachnospiraceae_unclassified; Genus_Neisseria; Genus_Saccharimonadaceae_Incertae_Sedis; Genus_Sutterella; Genus_Agathobaculum; Genus_Bifidobacterium; Genus_Desulfovibrio; Genus_Enterobacteriaceae_unclassified; Genus_Eubacterium_coprostanoligenes_group_Incertae_Sedis; Genus_Eubacterium_ventriosum_group; Genus_Faecalibacterium; Genus_Faecalimonas; Genus_Fusicatenibacter; Genus_Gemella; Genus_Ligilactobacillus; Genus_Massilia; Genus_Parabacteroides; Genus_Ruminococcaceae_unclassified
run_model_0.1	naive_bayes	0.909446022727273	0.850520833333333	0.149479166666667	OK	30	Genus_Escherichia_Shigella; Genus_Lachnospira; Genus_Lachnospiraceae_FCS020_group; Genus_Lachnospiraceae_ND3007_group; Genus_Lachnospiraceae_UCG_004; Genus_Oscillibacter; Genus_Sutterellaceae_unclassified; Genus_Blautia; Genus_Butyribacter; Genus_Collinsella; Genus_Enterobacter; Genus_Lachnospiraceae_GCA_900066575; Genus_Lachnospiraceae_unclassified; Genus_Neisseria; Genus_Saccharimonadaceae_Incertae_Sedis; Genus_Sutterella; Genus_Agathobaculum; Genus_Bifidobacterium; Genus_Desulfovibrio; Genus_Enterobacteriaceae_unclassified; Genus_Eubacterium_coprostanoligenes_group_Incertae_Sedis; Genus_Eubacterium_ventriosum_group; Genus_Faecalibacterium; Genus_Faecalimonas; Genus_Fusicatenibacter; Genus_Gemella; Genus_Ligilactobacillus; Genus_Massilia; Genus_Parabacteroides; Genus_Ruminococcaceae_unclassified
run_model_0.1	kknn	0.995857007575757	0.921875	0.078125	OK	30	Genus_Escherichia_Shigella; Genus_Lachnospira; Genus_Lachnospiraceae_FCS020_group; Genus_Lachnospiraceae_ND3007_group; Genus_Lachnospiraceae_UCG_004; Genus_Oscillibacter; Genus_Sutterellaceae_unclassified; Genus_Blautia; Genus_Butyribacter; Genus_Collinsella; Genus_Enterobacter; Genus_Lachnospiraceae_GCA_900066575; Genus_Lachnospiraceae_unclassified; Genus_Neisseria; Genus_Saccharimonadaceae_Incertae_Sedis; Genus_Sutterella; Genus_Agathobaculum; Genus_Bifidobacterium; Genus_Desulfovibrio; Genus_Enterobacteriaceae_unclassified; Genus_Eubacterium_coprostanoligenes_group_Incertae_Sedis; Genus_Eubacterium_ventriosum_group; Genus_Faecalibacterium; Genus_Faecalimonas; Genus_Fusicatenibacter; Genus_Gemella; Genus_Ligilactobacillus; Genus_Massilia; Genus_Parabacteroides; Genus_Ruminococcaceae_unclassified
run_model_0.1	rpart	0.859789299242424	0.691666666666667	0.308333333333333	OK	30	Genus_Escherichia_Shigella; Genus_Lachnospira; Genus_Lachnospiraceae_FCS020_group; Genus_Lachnospiraceae_ND3007_group; Genus_Lachnospiraceae_UCG_004; Genus_Oscillibacter; Genus_Sutterellaceae_unclassified; Genus_Blautia; Genus_Butyribacter; Genus_Collinsella; Genus_Enterobacter; Genus_Lachnospiraceae_GCA_900066575; Genus_Lachnospiraceae_unclassified; Genus_Neisseria; Genus_Saccharimonadaceae_Incertae_Sedis; Genus_Sutterella; Genus_Agathobaculum; Genus_Bifidobacterium; Genus_Desulfovibrio; Genus_Enterobacteriaceae_unclassified; Genus_Eubacterium_coprostanoligenes_group_Incertae_Sedis; Genus_Eubacterium_ventriosum_group; Genus_Faecalibacterium; Genus_Faecalimonas; Genus_Fusicatenibacter; Genus_Gemella; Genus_Ligilactobacillus; Genus_Massilia; Genus_Parabacteroides; Genus_Ruminococcaceae_unclassified
run_model_0.1	adaboost	1	0.961458333333333	0.0385416666666667	OK	30	Genus_Escherichia_Shigella; Genus_Lachnospira; Genus_Lachnospiraceae_FCS020_group; Genus_Lachnospiraceae_ND3007_group; Genus_Lachnospiraceae_UCG_004; Genus_Oscillibacter; Genus_Sutterellaceae_unclassified; Genus_Blautia; Genus_Butyribacter; Genus_Collinsella; Genus_Enterobacter; Genus_Lachnospiraceae_GCA_900066575; Genus_Lachnospiraceae_unclassified; Genus_Neisseria; Genus_Saccharimonadaceae_Incertae_Sedis; Genus_Sutterella; Genus_Agathobaculum; Genus_Bifidobacterium; Genus_Desulfovibrio; Genus_Enterobacteriaceae_unclassified; Genus_Eubacterium_coprostanoligenes_group_Incertae_Sedis; Genus_Eubacterium_ventriosum_group; Genus_Faecalibacterium; Genus_Faecalimonas; Genus_Fusicatenibacter; Genus_Gemella; Genus_Ligilactobacillus; Genus_Massilia; Genus_Parabacteroides; Genus_Ruminococcaceae_unclassified
run_model_0.1	nnet	0.983191287878788	0.940625	0.059375	OK	30	Genus_Escherichia_Shigella; Genus_Lachnospira; Genus_Lachnospiraceae_FCS020_group; Genus_Lachnospiraceae_ND3007_group; Genus_Lachnospiraceae_UCG_004; Genus_Oscillibacter; Genus_Sutterellaceae_unclassified; Genus_Blautia; Genus_Butyribacter; Genus_Collinsella; Genus_Enterobacter; Genus_Lachnospiraceae_GCA_900066575; Genus_Lachnospiraceae_unclassified; Genus_Neisseria; Genus_Saccharimonadaceae_Incertae_Sedis; Genus_Sutterella; Genus_Agathobaculum; Genus_Bifidobacterium; Genus_Desulfovibrio; Genus_Enterobacteriaceae_unclassified; Genus_Eubacterium_coprostanoligenes_group_Incertae_Sedis; Genus_Eubacterium_ventriosum_group; Genus_Faecalibacterium; Genus_Faecalimonas; Genus_Fusicatenibacter; Genus_Gemella; Genus_Ligilactobacillus; Genus_Massilia; Genus_Parabacteroides; Genus_Ruminococcaceae_unclassified
run_model_0.2	glmnet	1	1	0	OK	23	1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate; 1,4-Dioxo-1,4-dihydronaphthalene-2-carboxylic acid; 1-deoxy-L-glycero-tetrulose 4-phosphate; 1-Hydroxyphenanthrene; 4-Deoxy-beta-D-gluc-4-enuronosyl-(1,3)-N-acetyl-D-galactosamine 4-sulfate; 4-hydroxymandelic acid; 8-Geranylesculetin; Capillarisin; Crocetindial; Cysteinyl-Leucine; Ectoine; Ellagic acid; FA 4_2;O3; Ganaxolone; Indole-3-methanamine; Inosine 5'-monophosphate (IMP); N-(5-Phospho-D-ribosyl)anthranilate; Neryl diphosphate; Phosphodimethylethanolamine; PROPAMOCARB; selenodiglutathione; UDP-alpha-D-GlcNAc3NAcA; UDP-N-acetyl-beta-L-fucosamine
