#SampleID	group
MTN_1	MTN
MTN_10	MTN
MTN_11	MTN
MTN_12	MTN
MTN_13	MTN
MTN_14	MTN
MTN_15	MTN
MTN_16	MTN
MTN_17	MTN
MTN_18	MTN
MTN_19	MTN
MTN_20	MTN
MTN_21	MTN
MTN_22	MTN
MTN_23	MTN
MTN_3	MTN
MTN_34	MTN
MTN_35	MTN
MTN_36	MTN
MTN_37	MTN
MTN_38	MTN
MTN_39	MTN
MTN_4	MTN
MTN_40	MTN
MTN_42	MTN
MTN_44	MTN
MTN_45	MTN
MTN_46	MTN
MTN_49	MTN
MTN_5	MTN
MTN_52	MTN
MTN_54	MTN
MTN_55	MTN
MTN_56	MTN
MTN_58	MTN
MTN_6	MTN
MTN_61	MTN
MTN_63	MTN
MTN_64	MTN
MTN_7	MTN
MTN_8	MTN
MTN_9	MTN
BTN_1	BTN
BTN_10	BTN
BTN_11	BTN
BTN_12	BTN
BTN_13	BTN
BTN_14	BTN
BTN_15	BTN
BTN_16	BTN
BTN_17	BTN
BTN_18	BTN
BTN_19	BTN
BTN_2	BTN
BTN_20	BTN
BTN_21	BTN
BTN_22	BTN
BTN_23	BTN
BTN_24	BTN
BTN_25	BTN
BTN_26	BTN
BTN_27	BTN
BTN_28	BTN
BTN_29	BTN
BTN_3	BTN
BTN_30	BTN
BTN_31	BTN
BTN_32	BTN
BTN_33	BTN
BTN_34	BTN
BTN_35	BTN
BTN_36	BTN
BTN_37	BTN
BTN_38	BTN
BTN_39	BTN
BTN_4	BTN
BTN_40	BTN
BTN_41	BTN
BTN_42	BTN
BTN_43	BTN
BTN_44	BTN
BTN_45	BTN
BTN_46	BTN
BTN_47	BTN
BTN_48	BTN
BTN_49	BTN
BTN_5	BTN
BTN_50	BTN
BTN_51	BTN
BTN_52	BTN
BTN_6	BTN
BTN_7	BTN
BTN_8	BTN
BTN_9	BTN
