SampleID	group	Split
MTN_1	MTN	test
MTN_10	MTN	test
MTN_11	MTN	train
MTN_12	MTN	train
MTN_13	MTN	train
MTN_14	MTN	test
MTN_15	MTN	train
MTN_16	MTN	train
MTN_17	MTN	train
MTN_18	MTN	train
MTN_19	MTN	train
MTN_20	MTN	train
MTN_21	MTN	test
MTN_22	MTN	train
MTN_23	MTN	train
MTN_3	MTN	test
MTN_34	MTN	train
MTN_35	MTN	test
MTN_36	MTN	train
MTN_37	MTN	test
MTN_38	MTN	test
MTN_39	MTN	test
MTN_4	MTN	test
MTN_40	MTN	train
MTN_42	MTN	train
MTN_44	MTN	train
MTN_45	MTN	train
MTN_46	MTN	train
MTN_49	MTN	test
MTN_5	MTN	train
MTN_52	MTN	train
MTN_54	MTN	train
MTN_55	MTN	train
MTN_56	MTN	train
MTN_58	MTN	test
MTN_6	MTN	train
MTN_61	MTN	train
MTN_63	MTN	train
MTN_64	MTN	train
MTN_7	MTN	train
MTN_8	MTN	test
MTN_9	MTN	train
BTN_1	BTN	train
BTN_10	BTN	test
BTN_11	BTN	test
BTN_12	BTN	test
BTN_13	BTN	train
BTN_14	BTN	train
BTN_15	BTN	train
BTN_16	BTN	train
BTN_17	BTN	train
BTN_18	BTN	train
BTN_19	BTN	train
BTN_2	BTN	train
BTN_20	BTN	train
BTN_21	BTN	test
BTN_22	BTN	train
BTN_23	BTN	train
BTN_24	BTN	test
BTN_25	BTN	train
BTN_26	BTN	test
BTN_27	BTN	test
BTN_28	BTN	train
BTN_29	BTN	test
BTN_3	BTN	train
BTN_30	BTN	test
BTN_31	BTN	train
BTN_32	BTN	train
BTN_33	BTN	train
BTN_34	BTN	train
BTN_35	BTN	train
BTN_36	BTN	test
BTN_37	BTN	train
BTN_38	BTN	train
BTN_39	BTN	test
BTN_4	BTN	train
BTN_40	BTN	test
BTN_41	BTN	test
BTN_42	BTN	train
BTN_43	BTN	train
BTN_44	BTN	train
BTN_45	BTN	test
BTN_46	BTN	train
BTN_47	BTN	train
BTN_48	BTN	train
BTN_49	BTN	train
BTN_5	BTN	train
BTN_50	BTN	train
BTN_51	BTN	train
BTN_52	BTN	train
BTN_6	BTN	test
BTN_7	BTN	test
BTN_8	BTN	train
BTN_9	BTN	train
